point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,33031,31281,33031,DeuceCourt,156 KPH,Slice,NA,-11.386,-0.899,2.59,1,Forced Error,NA,False,NA,ForeHand,NA,NA,NA,False,False,True,5.691,4.013,0.038,Wide,1.234,-0.0,2.193,12.985,6.574,1.013,-12.885,-4.615,0.024,12.985,6.574,1.013,-0.0,1.147,4.491,-12.885,-4.615,0.024,1585.8,0,0,0,0,0,0,0,0,33031,31281,0,0,0,0
1_1_2_1,1,1,2,1,33031,31281,33031,AdCourt,142 KPH,Slice,NA,-11.489,2.175,2.636,3,Unforced Error,NA,True,Ground,BackHand,0.91 Metre,NA,Net Error,False,False,True,5.68,-2.211,0.05,Body,1.268,-0.0,-0.909,14.213,-3.922,0.963,0.142,0.09,0.049,13.617,-3.935,1.0,0.0,-1.188,1.358,-6.31,-0.018,0.048,1639.2,0,0,0,0,0,0,1,0,33031,31281,0,0,0,0
1_1_3_1,1,1,3,1,33031,31281,33031,DeuceCourt,165.83 KPH,Pronated,5.68 Metre,-11.37,-0.851,2.607,0,Faulty Serve,Long Error,False,NA,ForeHand,0.94 Metre,NA,Long Error,False,False,True,12.081,-0.102,0.051,T,0.937,0.004,0.246,-11.37,-0.851,2.607,12.081,-0.102,0.051,,,,,,,,,,NA,1,0,0,0,0,0,2,0,33031,31281,0,0,0,0
1_1_3_2,1,1,3,2,33031,31281,31281,DeuceCourt,124 KPH,Pronated,NA,-11.741,-0.554,2.623,4,Unforced Error,NA,False,Ground,ForeHand,1.95 Metre,NA,Long Error,False,False,True,4.72,0.462,0.058,T,1.308,0.0,-0.031,-11.27,-3.241,0.883,12.562,-2.635,0.042,13.096,0.953,1.727,0.0,1.007,1.482,-6.244,0.885,0.044,2156.82,0,0,0,0,0,0,2,0,33031,31281,0,0,0,0
NA,1,1,4,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,1,33031,31281,0,0,0,0
1_1_4_2,1,1,4,2,33031,31281,33031,AdCourt,106 KPH,Flat,NA,-11.625,2.163,2.702,23,Winner,NA,False,Drop,BackHand,1.61 Metre,Cross Court,NA,False,False,True,4.104,-2.746,0.044,Wide,1.314,0.0,-1.707,-5.22,2.83,1.399,4.191,-2.218,0.044,12.369,-5.179,1.224,0.0,-0.687,1.045,-4.782,0.949,0.049,NA,0,0,0,0,0,0,2,1,33031,31281,0,0,0,0
1_1_5_1,1,1,5,1,33031,31281,31281,DeuceCourt,167 KPH,NA,NA,,,,12,Unforced Error,NA,False,Ground,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1639.2,0,0,0,0,0,0,3,1,33031,31281,0,0,0,0
1_1_6_1,1,1,6,1,33031,31281,33031,AdCourt,NA,NA,NA,,,,1,Ace,NA,False,,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,3,2,33031,31281,0,0,0,0
1_2_1_1,1,2,1,1,31281,33031,31281,DeuceCourt,138 KPH,Slice,NA,-11.358,-1.296,2.591,7,Winner,NA,False,Ground,BackHand,1.68 Metre,Down the Line,NA,False,False,True,4.993,0.116,0.059,T,1.184,0.0,-0.509,-10.763,4.518,0.917,11.074,3.872,0.031,13.681,1.398,1.079,0.0,2.367,1.632,-6.989,2.864,0.039,2111.58,0,0,0,0,0,1,0,0,33031,31281,1,0,0,0
1_2_2_1,1,2,2,1,31281,33031,31281,AdCourt,138 KPH,NA,NA,,,,0,Faulty Serve,NA,False,Ground,BackHand,1.68 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,2111.58,1,0,0,0,0,0,1,0,33031,31281,1,0,0,0
1_2_2_2,1,2,2,2,31281,33031,33031,AdCourt,125 KPH,Slice,NA,-11.529,0.348,2.66,2,Winner,NA,False,Ground,BackHand,1.18 Metre,Down the Line,NA,False,False,True,6.318,-3.541,0.042,Wide,1.467,-0.0,-2.48,11.039,-4.228,1.098,-8.318,-3.128,0.038,11.039,-4.228,1.098,0.0,-3.497,1.179,-8.318,-3.128,0.038,1243.44,0,0,0,0,0,0,1,0,33031,31281,1,0,0,0
1_2_3_1,1,2,3,1,31281,33031,31281,DeuceCourt,139 KPH,Slice,NA,-11.339,-0.978,2.569,1,Forced Error,NA,True,NA,ForeHand,0.6 Metre,NA,NA,False,False,True,4.727,3.582,0.037,Wide,1.168,-0.0,1.999,11.888,6.033,1.279,,,,,,,,,,,,,1767.3,0,0,0,0,0,0,1,1,33031,31281,1,0,0,0
1_2_4_1,1,2,4,1,31281,33031,31281,AdCourt,152 KPH,NA,NA,,,,15,Forced Error,NA,False,NA,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1767.3,0,0,0,0,0,0,2,1,33031,31281,1,0,0,0
1_2_5_1,1,2,5,1,31281,33031,31281,DeuceCourt,124 KPH,NA,NA,,,,9,Unforced Error,NA,False,Ground,ForeHand,1.95 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1464.6,0,0,0,0,0,0,3,1,33031,31281,1,0,0,0
1_3_1_1,1,3,1,1,33031,31281,31281,DeuceCourt,172 KPH,NA,NA,,,,4,Winner,NA,False,Ground,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1639.2,0,0,0,0,0,0,0,0,33031,31281,1,1,0,0
1_3_2_1,1,3,2,1,33031,31281,31281,AdCourt,137 KPH,NA,NA,,,,6,Unforced Error,NA,False,Ground,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1639.2,0,0,0,0,0,0,0,1,33031,31281,1,1,0,0
1_3_3_1,1,3,3,1,33031,31281,31281,DeuceCourt,167 KPH,NA,NA,,,,6,Unforced Error,NA,False,Ground,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1639.2,0,0,0,0,0,0,0,2,33031,31281,1,1,0,0
1_3_4_1,1,3,4,1,33031,31281,31281,AdCourt,157 KPH,NA,NA,,,,10,Winner,NA,False,Ground,ForeHand,NA,NA,NA,True,True,False,,,,,,,,,,,,,,,,,,,,,,,1639.2,0,0,0,0,0,0,0,3,33031,31281,1,1,0,0
1_4_1_1,1,4,1,1,31281,33031,31281,DeuceCourt,142 KPH,Kick,NA,11.433,0.917,2.572,1,Forced Error,NA,True,Ground,ForeHand,0.66 Metre,NA,NA,False,False,True,-3.88,-3.257,0.041,Wide,1.025,0.0,-2.011,-11.123,-5.513,1.584,-1.872,0.424,0.044,-11.123,-5.513,1.584,0.003,-0.265,0.661,-1.872,0.424,0.044,1151.76,0,0,0,0,0,0,0,0,33031,31281,1,2,0,0
