point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,WTA320760,WTA110536,,DeuceCourt,173.31 KPH,Slice,1.08 Metre,11.3529997,1.50199997,2.75600004,0,Faulty Serve,Long Error,False,NA,BackHand,1.49 Metre,NA,NA,False,False,True,-7.47700024,-3.79299998,0.0329999998,Wide,,,,11.3529997,1.50199997,2.75600004,-7.47700024,-3.79299998,0.0329999998,,,,,,,,,,NA,1,0,0,0,0,0,0,0,WTA320760,WTA110536,0,0,0,0
1_1_1_2,1,1,1,2,WTA320760,WTA110536,WTA320760,DeuceCourt,159 KPH,Slice,NA,11.4650002,1.43799996,2.8039999,3,Forced Error,NA,False,Ground,BackHand,NA,NA,NA,False,False,True,-4.84299994,-2.81100011,0.0309999995,Wide,,,,-12.885,4.13199997,0.718999982,12.7220001,-0.63499999,0.0320000015,-11.8179998,-5.06899977,1.52100003,0.0,-2.03699994,1.81900001,8.43900013,-0.101000004,0.0299999993,NA,0,0,0,0,0,0,0,0,WTA320760,WTA110536,0,0,0,0
1_1_2_1,1,1,2,1,WTA320760,WTA110536,WTA320760,AdCourt,174 KPH,Flat,NA,11.2749996,-1.42200005,2.77399993,1,Winner,NA,False,NA,BackHand,1.06 Metre,Cross Court,NA,False,False,True,-5.13700008,3.37199998,0.0329999998,Wide,,,,11.2749996,-1.42200005,2.77399993,-5.13700008,3.37199998,0.0329999998,,,,,,,,,,NA,0,0,0,0,0,0,1,0,WTA320760,WTA110536,0,0,0,0
1_1_3_1,1,1,3,1,WTA320760,WTA110536,WTA320760,DeuceCourt,189 KPH,Kick,NA,11.3660002,1.33899999,2.796,1,Ace,NA,False,NA,ForeHand,1.02 Metre,Cross Court,NA,False,False,True,-4.64799976,-0.200000003,0.0299999993,T,,,,11.3660002,1.33899999,2.796,-4.64799976,-0.200000003,0.0299999993,,,,,,,,,,NA,0,0,0,1,0,0,2,0,WTA320760,WTA110536,0,0,0,0
1_1_4_1,1,1,4,1,WTA320760,WTA110536,WTA110536,AdCourt,181.69 KPH,NA,0.34 Metre,11.2749996,-1.35599995,2.73399997,0,Faulty Serve,Net Error,True,NA,NA,0.86 Metre,NA,Net Error,False,False,True,0.338999987,0.50999999,0.0309999995,T,,,,11.2749996,-1.35599995,2.73399997,0.338999987,0.50999999,0.0309999995,,,,,,,,,,NA,1,0,0,0,0,1,3,0,WTA320760,WTA110536,0,0,0,0
1_1_4_2,1,1,4,2,WTA320760,WTA110536,WTA110536,AdCourt,169 KPH,Slice,NA,11.3699999,-1.44599998,2.77600002,0,DoubleFault,NA,False,NA,BackHand,1.83 Metre,NA,NA,False,False,True,-9.81099987,3.11100006,0.0320000015,Wide,,,,11.3699999,-1.44599998,2.77600002,-9.81099987,3.11100006,0.0320000015,,,,,,,,,,NA,1,1,0,0,0,0,3,0,WTA320760,WTA110536,0,0,0,0
1_1_5_1,1,1,5,1,WTA320760,WTA110536,WTA320760,DeuceCourt,162.93 KPH,Slice,0.75 Metre,11.4659996,1.61899996,2.79500008,0,Faulty Serve,Wide Error,False,NA,ForeHand,1.19 Metre,NA,Wide Error,False,False,True,-4.79799986,-4.86000013,0.0340000018,Wide,,,,11.4659996,1.61899996,2.79500008,-4.79799986,-4.86000013,0.0340000018,,,,,,,,,,1025.4,1,0,0,0,1,0,3,1,WTA320760,WTA110536,0,0,0,0
1_1_5_2,1,1,5,2,WTA320760,WTA110536,WTA320760,DeuceCourt,148 KPH,Kick,NA,11.4790001,1.39100003,2.81200004,3,Winner,NA,False,Ground,ForeHand,1.09 Metre,Cross Court,NA,False,False,True,-4.6789999,-3.74300003,0.0309999995,Wide,,,,10.6000004,1.85099995,1.17200005,-6.26800013,-2.61100006,0.0320000015,-11.5649996,-6.32600021,1.66999996,-0.0,-2.023,1.63499999,6.86100006,0.435000002,0.0309999995,2077.32,0,0,0,0,0,0,3,1,WTA320760,WTA110536,0,0,0,0
1_2_1_1,1,2,1,1,WTA110536,WTA320760,WTA110536,DeuceCourt,138 KPH,Slice,NA,11.4720001,1.40900004,2.68300009,3,Winner,NA,False,Ground,ForeHand,1.14 Metre,Cross Court,NA,False,False,True,-4.07600021,-3.46099997,0.0289999992,Wide,,,,13.0530005,2.22099996,0.614000022,-5.13999987,-2.00399995,0.0309999995,-11.9680004,-6.42500019,1.37199998,-0.0,-2.16300011,1.88199997,11.1990004,1.59500003,0.0329999998,2237.34,0,0,0,0,0,0,0,0,WTA320760,WTA110536,1,0,0,0
1_2_2_1,1,2,2,1,WTA110536,WTA320760,WTA320760,AdCourt,156 KPH,Slice,NA,11.5349998,-0.902999997,2.72600007,2,Unforced Error,NA,True,Ground,BackHand,0.86 Metre,NA,Net Error,False,False,True,-4.78999996,0.537999988,0.0309999995,T,,,,14.0679998,-3.40199995,1.59099996,0.254000008,-2.68799996,0.0350000001,-13.4639997,0.866999984,1.33800006,-0.0,-1.14699996,2.66899991,7.92199993,-2.58899999,0.0340000018,1918.86,0,0,0,0,0,0,1,0,WTA320760,WTA110536,1,0,0,0
