point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,WTA313796,WTA318516,,DeuceCourt,163.07 KPH,NA,0.07 Metre,-11.277,-0.931,2.778,0,Faulty Serve,Net Error,True,NA,ForeHand,0.91 Metre,NA,Net Error,False,False,True,-0.071,2.173,0.037,Body,0.905,0.112,1.943,-11.277,-0.931,2.778,-0.071,2.173,0.037,,,,,,,,,,NA,1,0,0,0,0,0,0,0,WTA313796,WTA318516,0,0,0,0
1_1_1_2,1,1,1,2,WTA313796,WTA318516,WTA313796,DeuceCourt,145 KPH,Slice,NA,-11.538,-0.77,2.827,1,Unforced Error,NA,False,NA,ForeHand,1.84 Metre,NA,Long Error,False,False,True,4.56,2.798,0.036,Wide,1.134,0.0,1.631,10.643,4.481,1.421,-12.885,-0.777,0.036,10.643,4.481,1.421,0.0,2.075,1.842,-12.885,-0.777,0.036,1385.04,0,0,0,0,0,0,0,0,WTA313796,WTA318516,0,0,0,0
1_1_2_1,1,1,2,1,WTA313796,WTA318516,WTA313796,AdCourt,170.04 KPH,Pronated,2.17 Metre,-11.297,1.178,2.756,0,Faulty Serve,Long Error,False,NA,ForeHand,0.91 Metre,NA,NA,False,False,True,8.572,-1.604,0.036,Body,0.908,0.035,-0.139,-11.297,1.178,2.756,8.572,-1.604,0.036,,,,,,,,,,NA,1,0,0,0,0,0,1,0,WTA313796,WTA318516,0,0,0,0
1_1_2_2,1,1,2,2,WTA313796,WTA318516,WTA318516,AdCourt,145 KPH,Slice,NA,-11.528,1.487,2.753,2,Unforced Error,NA,True,Ground,ForeHand,0.91 Metre,NA,Net Error,False,False,True,5.746,-2.682,0.035,Body,1.341,-0.0,-1.492,-11.149,-0.116,0.794,-0.062,2.108,0.037,10.903,-3.725,1.184,0.0,-1.976,1.223,-6.184,-0.961,0.032,2634.06,0,0,0,0,0,0,1,0,WTA313796,WTA318516,0,0,0,0
1_1_3_1,1,1,3,1,WTA313796,WTA318516,WTA318516,DeuceCourt,168.3 KPH,NA,NA,-11.244,-0.905,2.767,0,Faulty Serve,NA,True,NA,ForeHand,0.7 Metre,NA,NA,False,False,True,,,,,0.704,0.005,-0.575,-11.244,-0.905,2.767,,,,,,,,,,,,,NA,1,0,0,0,0,0,1,1,WTA313796,WTA318516,0,0,0,0
1_1_3_2,1,1,3,2,WTA313796,WTA318516,WTA313796,DeuceCourt,144 KPH,Slice,NA,-11.616,-0.569,2.755,3,Winner,NA,False,Ground,ForeHand,1.28 Metre,Down the Line,NA,False,False,True,4.832,3.331,0.036,Wide,1.204,0.0,2.001,-11.53,-1.682,0.665,9.706,-2.354,0.034,10.688,5.068,1.322,0.0,1.783,1.41,-8.499,-0.769,0.031,1743,0,0,0,0,0,0,1,1,WTA313796,WTA318516,0,0,0,0
1_1_4_1,1,1,4,1,WTA313796,WTA318516,WTA318516,AdCourt,168.67 KPH,NA,NA,-11.312,1.271,2.768,0,Faulty Serve,NA,False,NA,NA,0.85 Metre,NA,NA,False,False,True,0.141,0.015,0.846,T,0.846,0.141,0.015,-11.312,1.271,2.768,,,,,,,,,,,,,902.7,1,0,0,0,0,0,2,1,WTA313796,WTA318516,0,0,0,0
1_1_4_2,1,1,4,2,WTA313796,WTA318516,WTA318516,AdCourt,157 KPH,NA,0.18 Metre,-11.366,1.33,2.749,0,DoubleFault,Long Error,False,NA,NA,1.38 Metre,NA,NA,False,False,True,6.58,-0.684,0.032,T,1.379,-0.0,-0.105,-11.366,1.33,2.749,6.58,-0.684,0.032,,,,,,,,,,1494.84,1,1,0,0,0,0,2,1,WTA313796,WTA318516,0,0,0,0
1_1_5_1,1,1,5,1,WTA313796,WTA318516,WTA313796,DeuceCourt,174 KPH,Flat,NA,-11.405,-0.855,2.744,1,Forced Error,NA,True,NA,BackHand,1.13 Metre,NA,NA,False,False,True,5.514,0.713,0.033,T,1.13,-0.0,0.153,12.1,1.446,1.053,1.54,4.615,0.035,,,,,,,,,,999.66,0,0,0,0,1,0,2,2,WTA313796,WTA318516,0,0,0,0
1_1_6_1,1,1,6,1,WTA313796,WTA318516,WTA318516,AdCourt,171 KPH,Flat,NA,-11.195,1.312,2.713,6,Winner,NA,False,Ground,ForeHand,1.82 Metre,Down the Line,NA,False,False,True,4.657,-3.188,0.037,Wide,0.987,-0.0,-1.896,9.736,-1.732,2.257,-9.663,-3.717,0.035,11.728,-5.072,1.154,0.0,-1.486,2.302,-7.378,0.845,0.034,1496.46,0,0,0,0,0,0,3,2,WTA313796,WTA318516,0,0,0,0
