point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
NA,1,1,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0
1_1_1_2,1,1,1,2,28593,20017,28593,DeuceCourt,146.32 KPH,Kick,NA,-11.545,-0.837,3.05,5,Unforced Error,NA,True,Ground,ForeHand,0.79 Metre,NA,Net Error,False,False,True,4.043,1.779,0.049,Body,,,,11.767,3.427,1.062,0.288,-1.517,0.043,10.723,2.925,1.885,0.0,1.84,1.437,-8.198,1.374,0.04,3852.42,0,0,0,0,0,0,0,0
1_1_2_1,1,1,2,1,28593,20017,28593,AdCourt,185 KPH,Pronated,NA,-11.337,1.616,2.903,1,Forced Error,NA,True,Ground,BackHand,0.92 Metre,NA,NA,False,False,True,6.038,-3.391,0.041,Wide,,,,15.423,-6.395,1.152,0.209,-2.454,0.041,15.423,-6.395,1.152,-0.013,-2.69,0.924,0.209,-2.454,0.041,1600.5,0,0,0,0,0,0,1,0
1_1_3_1,1,1,3,1,28593,20017,20017,DeuceCourt,0 KPH,NA,NA,,,,8,Unforced Error,NA,False,,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,0
1_1_4_1,1,1,4,1,28593,20017,28593,AdCourt,195 KPH,Pronated,NA,-11.484,1.619,2.944,23,Unforced Error,NA,False,Ground,ForeHand,1.4 Metre,NA,NA,False,False,True,5.143,-0.789,0.05,T,,,,,,,,,,16.376,-2.538,0.987,-0.0,0.014,2.565,-8.281,1.004,0.042,1415.52,0,0,0,0,0,0,2,1
1_1_5_1,1,1,5,1,28593,20017,28593,DeuceCourt,195 KPH,NA,NA,,,,0,Faulty Serve,NA,False,Ground,BackHand,1.4 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1415.52,1,0,0,0,0,0,3,1
1_1_5_2,1,1,5,2,28593,20017,28593,DeuceCourt,195 KPH,NA,NA,,,,7,Unforced Error,NA,False,Ground,BackHand,1.4 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1899.6,0,0,0,0,0,0,3,1
1_2_1_1,1,2,1,1,20017,28593,28593,DeuceCourt,188 KPH,NA,NA,,,,4,Forced Error,NA,False,,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
1_2_2_1,1,2,2,1,20017,28593,28593,AdCourt,193.25 KPH,NA,NA,-11.245,1.359,2.922,0,Faulty Serve,NA,True,NA,BackHand,0.81 Metre,NA,NA,False,False,True,,,,,,,,-11.245,1.359,2.922,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1
1_2_2_2,1,2,2,2,20017,28593,20017,AdCourt,138 KPH,Slice,NA,-11.425,1.603,2.949,5,Winner,NA,False,NA,BackHand,1.06 Metre,NA,NA,False,False,True,5.488,-1.101,0.046,T,,,,,,,,,,15.118,-2.208,1.37,0.0,0.488,2.327,-6.336,1.281,0.041,NA,0,0,0,0,0,0,0,1
