point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
2_8_5_2,2,8,5,2,43970,31798,43970,DeuceCourt,158 KPH,Pronated,NA,-11.701,-0.472,2.858,1,Forced Error,NA,False,Ground,BackHand,2.44 Metre,NA,NA,False,False,True,4.84,1.057,0.042,T,,,,10.743,1.589,1.669,-12.885,1.167,0.041,10.743,1.589,1.669,-0.0,1.346,2.436,-12.885,1.167,0.041,NA,0,0,0,0,0,0,2,2
NA,2,8,6,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,3,2
2_8_6_2,2,8,6,2,43970,31798,43970,AdCourt,158 KPH,NA,NA,,,,1,Forced Error,NA,False,Ground,BackHand,2.44 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,0,0,0,0,0,0,3,2
2_9_1_1,2,9,1,1,31798,43970,43970,DeuceCourt,158 KPH,NA,NA,,,,4,Unforced Error,NA,False,Ground,ForeHand,2.44 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,0,0,0,0,0,0,0,0
NA,2,9,2,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,1
2_9_2_2,2,9,2,2,31798,43970,43970,AdCourt,142 KPH,Pronated,NA,11.157,-1.079,3.068,2,Unforced Error,NA,False,Ground,BackHand,2.3 Metre,NA,Long Error,False,False,True,-4.093,3.383,0.029,Wide,,,,11.298,-3.292,0.89,-12.005,0.88,0.04,-9.923,5.318,1.656,-0.0,1.206,2.11,9.575,-2.598,0.035,1843.62,0,0,0,0,0,0,0,1
2_9_3_1,2,9,3,1,31798,43970,31798,DeuceCourt,NA,NA,NA,,,,1,Ace,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,0,0,0,1,0,0,0,2
NA,2,9,4,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,1,1,2
2_9_4_2,2,9,4,2,31798,43970,43970,AdCourt,142 KPH,NA,NA,,,,4,Unforced Error,NA,False,Ground,ForeHand,2.3 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1843.62,0,0,0,0,0,0,1,2
2_9_5_1,2,9,5,1,31798,43970,31798,DeuceCourt,209 KPH,NA,NA,,,,1,Forced Error,NA,False,Volley,BackHand,NA,NA,NA,True,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,0,0,0,0,0,0,1,3
2_9_6_1,2,9,6,1,31798,43970,31798,AdCourt,199.71 KPH,Flat,NA,10.884,-0.732,3.019,5,Forced Error,NA,True,Passing,ForeHand,0.89 Metre,NA,NA,True,False,True,-5.535,0.688,0.034,T,,,,-7.345,-4.795,0.164,-0.474,0.098,0.04,-13.502,1.135,1.414,-0.0,0.34,1.122,2.385,0.177,0.039,0,0,0,0,0,0,0,2,3
2_9_7_1,2,9,7,1,31798,43970,31798,DeuceCourt,188.47 KPH,Kick,0.09 Metre,11.198,0.594,3.017,0,Faulty Serve,Wide Error,False,NA,BackHand,1.33 Metre,NA,Wide Error,False,False,True,-5.704,-4.201,0.035,Wide,,,,11.198,0.594,3.017,-5.704,-4.201,0.035,,,,,,,,,,0,1,0,0,0,0,0,3,3
2_9_7_2,2,9,7,2,31798,43970,43970,DeuceCourt,181 KPH,Pronated,NA,11.208,0.483,3.083,2,Forced Error,NA,True,Drop,BackHand,1.71 Metre,NA,NA,False,False,True,-4.752,-0.937,0.034,T,,,,12.355,-3.536,1.084,0.137,-1.853,0.04,-10.517,-1.405,1.596,0.0,-2.512,1.714,9.05,-3.273,0.034,NA,0,0,0,0,0,0,3,3
2_9_8_1,2,9,8,1,31798,43970,43970,AdCourt,207.76 KPH,Flat,0.32 Metre,10.966,-0.907,3.028,0,Faulty Serve,Long Error,False,NA,ForeHand,1.34 Metre,NA,NA,True,False,True,-6.725,0.117,0.032,T,,,,10.966,-0.907,3.028,-6.725,0.117,0.032,,,,,,,,,,0,1,0,0,0,0,0,3,4
2_9_8_2,2,9,8,2,31798,43970,31798,AdCourt,182 KPH,Kick,NA,10.992,-0.954,3.075,1,Forced Error,NA,True,Ground,ForeHand,0.07 Metre,NA,NA,True,False,True,-3.782,1.04,0.039,T,,,,-10.677,1.934,1.852,0.034,-2.803,0.032,-10.677,1.934,1.852,-0.0,-2.784,0.069,0.034,-2.803,0.032,1021.98,0,0,0,0,0,0,3,4
2_9_9_1,2,9,9,1,31798,43970,31798,DeuceCourt,190 KPH,Kick,NA,11.116,0.64,3.039,7,Unforced Error,NA,False,Ground,BackHand,2.73 Metre,NA,Long Error,False,False,True,-4.223,-3.133,0.035,Wide,,,,,,,,,,-12.103,-5.134,1.538,-0.0,-2.194,2.475,10.078,0.158,0.044,2199.78,0,0,0,0,0,0,4,4
2_9_10_1,2,9,10,1,31798,43970,31798,AdCourt,NA,NA,NA,,,,1,Ace,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,0,0,0,1,0,0,5,4
3_1_1_1,3,1,1,1,43970,31798,31798,DeuceCourt,201 KPH,Flat,NA,11.494,0.748,2.977,2,Unforced Error,NA,True,Drop,BackHand,0.73 Metre,NA,Net Error,False,False,True,-5.955,-1.086,0.035,T,,,,10.077,-3.052,0.63,0.043,-2.761,0.032,-13.267,-2.086,1.278,0.0,-2.692,1.501,6.573,-2.945,0.034,NA,0,0,0,0,0,1,0,0
3_1_2_1,3,1,2,1,43970,31798,43970,AdCourt,192 KPH,Kick,NA,11.555,-1.184,2.954,7,Unforced Error,NA,True,Ground,ForeHand,0.8 Metre,NA,Net Error,False,False,True,-4.936,2.838,0.028,Wide,,,,-12.027,0.347,1.32,,,,-12.648,4.585,1.621,-0.0,0.803,2.212,10.136,-2.446,0.036,2447.1,0,0,0,0,0,0,0,1
3_1_3_1,3,1,3,1,43970,31798,43970,DeuceCourt,205 KPH,Flat,NA,11.528,0.717,2.942,5,Winner,NA,False,Ground,ForeHand,1.66 Metre,Down the Line,NA,False,False,True,-5.409,-3.102,0.034,Wide,,,,8.408,-1.423,0.65,-11.019,-3.05,0.038,-12.762,-4.943,1.337,-0.0,-3.459,2.536,10.489,-2.966,0.037,3413.7,0,0,0,0,0,0,1,1
NA,3,1,4,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,1
3_1_4_2,3,1,4,2,43970,31798,31798,AdCourt,141 KPH,Slice,NA,11.561,-1.27,2.912,0,DoubleFault,NA,True,NA,NA,0.84 Metre,NA,Net Error,False,False,True,-0.006,2.083,0.845,Body,,,,11.561,-1.27,2.912,,,,,,,,,,,,,975.06,1,1,0,0,0,0,2,1
3_1_5_1,3,1,5,1,43970,31798,43970,DeuceCourt,197 KPH,Flat,NA,11.583,0.582,3.026,1,Ace,NA,False,NA,ForeHand,1.27 Metre,Down the Line,NA,False,False,True,-6.117,0.011,0.032,T,,,,11.583,0.582,3.026,-6.117,0.011,0.032,,,,,,,,,,NA,0,0,0,1,1,0,2,2
NA,3,1,6,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,1,3,2
3_1_6_2,3,1,6,2,43970,31798,43970,AdCourt,169 KPH,Pronated,NA,11.539,-1.454,2.894,1,Forced Error,NA,True,Drop,BackHand,1.49 Metre,NA,NA,False,False,True,-6.373,3.383,0.025,Wide,,,,-10.612,4.633,1.423,-4.438,1.761,0.036,,,,,,,,,,NA,0,0,0,0,0,0,3,2
NA,3,2,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0
3_2_1_2,3,2,1,2,31798,43970,43970,DeuceCourt,178 KPH,Flat,NA,11.195,0.654,3.076,4,Winner,NA,False,Overhead,ForeHand,0.94 Metre,NA,NA,False,False,True,-6.373,-2.222,0.035,Body,,,,,,,,,,,,,,,,,,,1026.42,0,0,0,0,0,0,0,0
3_2_2_1,3,2,2,1,31798,43970,31798,AdCourt,199 KPH,NA,NA,,,,1,Forced Error,NA,False,Ground,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,2199.78,0,0,0,0,0,0,0,1
3_2_3_1,3,2,3,1,31798,43970,31798,DeuceCourt,210 KPH,Flat,NA,11.088,0.471,3.09,3,Winner,NA,False,Ground,ForeHand,1.46 Metre,Cross Court,NA,False,False,True,-4.999,-0.074,0.034,T,,,,11.351,3.159,2.305,-7.952,-3.565,0.036,-13.762,-0.456,1.452,-0.0,2.044,7.662,10.434,3.443,0.043,NA,0,0,0,0,0,0,1,1
