point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,35398,32390,32390,DeuceCourt,200.26 KPH,NA,0.76 Metre,11.591,0.978,3.017,0,Faulty Serve,Net Error,True,NA,NA,0.76 Metre,NA,Net Error,False,False,True,0.755,-0.588,0.043,T,,,,11.591,0.978,3.017,0.755,-0.588,0.043,,,,,,,,,,NA,1,0,0,0,0,0,0,0,35398,32390,0,0,0,0
1_1_1_2,1,1,1,2,35398,32390,32390,DeuceCourt,158 KPH,Kick,NA,11.627,0.777,3.0,0,DoubleFault,NA,False,NA,BackHand,1.68 Metre,NA,NA,False,False,True,-7.088,-1.746,0.042,Body,,,,11.627,0.777,3.0,-7.088,-1.746,0.042,,,,,,,,,,1269.78,1,1,0,0,0,0,0,0,35398,32390,0,0,0,0
1_1_2_1,1,1,2,1,35398,32390,,AdCourt,180.83 KPH,Kick,0.03 Metre,11.644,-1.649,3.033,0,Faulty Serve,Wide Error,False,NA,ForeHand,1.16 Metre,NA,Wide Error,False,False,True,-4.613,4.149,0.033,Wide,,,,11.644,-1.649,3.033,-4.613,4.149,0.033,,,,,,,,,,1296.06,1,0,0,0,1,0,0,1,35398,32390,0,0,0,0
1_1_2_2,1,1,2,2,35398,32390,32390,AdCourt,144 KPH,Flat,NA,11.423,-1.511,3.017,2,Unforced Error,NA,True,Ground,ForeHand,0.78 Metre,NA,Net Error,False,False,True,-3.93,0.605,0.043,T,,,,11.866,-1.916,1.462,,,,-16.232,2.137,1.198,-0.0,-0.014,1.097,4.072,-0.605,0.05,3369.36,0,0,0,0,0,0,0,1,35398,32390,0,0,0,0
1_1_3_1,1,1,3,1,35398,32390,35398,DeuceCourt,185 KPH,Kick,NA,11.524,0.939,2.926,1,Forced Error,NA,True,NA,ForeHand,0.91 Metre,NA,NA,False,False,True,-5.089,-3.809,0.041,Wide,,,,-13.856,-6.884,1.547,-0.077,-2.731,0.041,-13.856,-6.884,1.547,0.0,-3.191,0.913,-0.077,-2.731,0.041,2072.22,0,0,0,0,0,0,0,2,35398,32390,0,0,0,0
1_1_4_1,1,1,4,1,35398,32390,35398,AdCourt,187.87 KPH,Slice,0.21 Metre,11.586,-1.606,2.945,0,Faulty Serve,Wide Error,False,NA,BackHand,1.14 Metre,NA,NA,False,False,True,-5.116,-0.213,0.044,T,,,,11.586,-1.606,2.945,-5.116,-0.213,0.044,,,,,,,,,,805.08,1,0,0,0,0,0,1,2,35398,32390,0,0,0,0
1_1_4_2,1,1,4,2,35398,32390,32390,AdCourt,154 KPH,Flat,NA,11.371,-1.586,3.0,4,Winner,NA,False,Ground,BackHand,1.12 Metre,Down the Line,NA,False,False,True,-6.126,2.705,0.037,Body,,,,-13.464,5.629,1.276,7.826,3.886,0.031,-16.34,4.837,1.517,0.0,0.22,2.451,10.633,-2.495,0.038,2126.22,0,0,0,0,0,0,1,2,35398,32390,0,0,0,0
1_1_5_1,1,1,5,1,35398,32390,35398,DeuceCourt,207 KPH,Flat,NA,11.488,0.918,2.966,1,Forced Error,NA,True,NA,BackHand,0.72 Metre,NA,NA,True,False,True,-5.309,-1.284,0.043,T,,,,-14.541,-2.657,1.449,,,,,,,,,,,,,1655.34,0,0,0,0,0,0,1,3,35398,32390,0,0,0,0
1_1_6_1,1,1,6,1,35398,32390,32390,AdCourt,204 KPH,Flat,NA,11.549,-1.397,2.938,10,Unforced Error,NA,True,Ground,BackHand,0.96 Metre,NA,NA,True,True,True,-5.651,0.67,0.044,T,,,,13.776,-3.236,0.547,0.117,-1.772,0.044,-15.222,1.726,1.356,0.0,-1.717,1.067,2.091,-2.311,0.043,2428.08,0,0,0,0,0,0,2,3,35398,32390,0,0,0,0
1_2_1_1,1,2,1,1,32390,35398,,DeuceCourt,191.03 KPH,NA,3.23 Metre,11.384,1.094,2.945,0,Faulty Serve,Net Error,True,NA,BackHand,0.94 Metre,NA,Net Error,False,False,True,3.164,0.656,0.045,T,,,,11.384,1.094,2.945,3.164,0.656,0.045,,,,,,,,,,NA,1,0,0,0,0,0,0,0,35398,32390,0,1,0,0
1_2_1_2,1,2,1,2,32390,35398,32390,DeuceCourt,152 KPH,Slice,NA,11.642,1.054,2.956,11,Unforced Error,NA,False,Ground,BackHand,3.06 Metre,NA,Wide Error,False,False,True,-5.31,-3.029,0.039,Wide,,,,-12.482,1.651,1.169,8.655,-4.615,0.018,-14.216,-5.576,1.327,0.0,-0.542,1.661,5.915,1.446,0.053,2810.58,0,0,0,0,0,0,0,0,35398,32390,0,1,0,0
1_2_2_1,1,2,2,1,32390,35398,35398,AdCourt,193 KPH,Kick,NA,11.527,-0.68,2.832,8,Unforced Error,NA,False,Ground,BackHand,1.88 Metre,NA,Long Error,False,False,True,-5.642,2.369,0.038,Body,,,,12.864,-1.298,1.52,-11.984,-4.011,0.027,-14.132,3.66,1.582,0.0,2.593,2.689,7.497,2.626,0.051,1629.9,0,0,0,0,0,0,1,0,35398,32390,0,1,0,0
1_2_3_1,1,2,3,1,32390,35398,35398,DeuceCourt,182.22 KPH,Flat,2.5 Metre,11.669,1.305,2.837,0,Faulty Serve,Long Error,False,NA,ForeHand,0.98 Metre,NA,NA,False,False,True,-8.901,-3.417,0.038,Wide,,,,11.669,1.305,2.837,-8.901,-3.417,0.038,,,,,,,,,,NA,1,0,0,0,0,0,1,1,35398,32390,0,1,0,0
1_2_3_2,1,2,3,2,32390,35398,35398,DeuceCourt,149 KPH,Flat,NA,11.828,0.909,2.954,6,Winner,NA,False,Ground,ForeHand,1.32 Metre,Down the Line,NA,False,False,True,-4.972,-1.411,0.042,Body,,,,-8.647,1.348,0.918,8.662,3.652,0.031,-15.235,-2.894,1.331,-0.0,-2.985,1.492,7.033,-3.259,0.041,NA,0,0,0,0,0,0,1,1,35398,32390,0,1,0,0
1_2_4_1,1,2,4,1,32390,35398,32390,AdCourt,204 KPH,Flat,NA,11.53,-0.725,2.909,7,Forced Error,NA,True,Ground,BackHand,0.38 Metre,NA,NA,False,False,True,-5.885,0.329,0.044,T,,,,-14.505,2.466,0.876,,,,-15.211,0.57,1.294,-0.0,-1.748,2.606,10.834,-3.808,0.034,NA,0,0,0,0,0,0,1,2,35398,32390,0,1,0,0
1_2_5_1,1,2,5,1,32390,35398,32390,DeuceCourt,180 KPH,Slice,NA,11.422,1.378,2.888,1,Forced Error,NA,False,NA,ForeHand,1.13 Metre,NA,NA,False,False,True,-4.852,-3.572,0.042,Wide,,,,,,,,,,,,,,,,,,,NA,0,0,0,0,0,0,2,2,35398,32390,0,1,0,0
1_2_6_1,1,2,6,1,32390,35398,32390,AdCourt,209 KPH,Flat,NA,11.507,-1.028,2.905,1,Forced Error,NA,False,Ground,BackHand,3.13 Metre,NA,NA,False,False,True,-5.394,3.665,0.033,Wide,,,,-13.785,5.851,1.275,12.038,-1.137,0.046,-13.785,5.851,1.275,0.0,2.641,3.132,12.038,-1.137,0.046,NA,0,0,0,0,0,0,3,2,35398,32390,0,1,0,0
1_3_1_1,1,3,1,1,35398,32390,32390,DeuceCourt,189.26 KPH,Kick,0.05 Metre,-11.595,-0.796,2.909,0,Faulty Serve,Wide Error,False,NA,ForeHand,1.14 Metre,NA,Wide Error,False,False,True,4.939,4.164,0.04,Wide,,,,-11.595,-0.796,2.909,4.939,4.164,0.04,,,,,,,,,,NA,1,0,0,0,0,0,0,0,35398,32390,0,2,0,0
1_3_1_2,1,3,1,2,35398,32390,35398,DeuceCourt,155 KPH,Kick,NA,-11.676,-0.623,2.981,5,Unforced Error,NA,False,Ground,ForeHand,1.87 Metre,NA,NA,False,False,True,4.874,1.959,0.053,Body,,,,,,,,,,11.355,3.423,2.838,0.0,1.249,3.366,-8.556,-0.648,0.043,2045.04,0,0,0,0,0,0,0,0,35398,32390,0,2,0,0
1_3_2_1,1,3,2,1,35398,32390,35398,AdCourt,200 KPH,Flat,NA,-11.631,1.465,2.973,3,Unforced Error,NA,True,Ground,BackHand,0.8 Metre,NA,Net Error,False,False,True,5.494,-0.894,0.047,T,,,,13.587,-2.975,1.205,,,,14.683,-2.009,1.177,0.0,0.379,1.711,-9.226,1.989,0.031,1966.14,0,0,0,0,0,0,1,0,35398,32390,0,2,0,0
1_3_3_1,1,3,3,1,35398,32390,35398,DeuceCourt,200.34 KPH,NA,0.76 Metre,-11.725,-0.859,2.968,0,Faulty Serve,Net Error,True,NA,ForeHand,0.76 Metre,NA,Net Error,False,False,True,-0.761,0.487,0.045,T,,,,-11.725,-0.859,2.968,-0.761,0.487,0.045,,,,,,,,,,0,1,0,0,0,0,0,2,0,35398,32390,0,2,0,0
1_3_3_2,1,3,3,2,35398,32390,35398,DeuceCourt,168 KPH,Flat,NA,-11.662,-0.759,2.945,3,Winner,NA,False,Ground,ForeHand,1.68 Metre,Cross Court,NA,False,False,True,4.221,0.722,0.05,T,,,,-12.361,0.515,1.012,9.539,-3.97,0.037,16.357,1.949,1.427,-0.0,1.237,1.05,-5.071,0.948,0.044,3535.92,0,0,0,0,0,0,2,0,35398,32390,0,2,0,0
1_3_4_1,1,3,4,1,35398,32390,35398,AdCourt,205.9 KPH,Flat,NA,-11.61,1.159,3.006,1,Forced Error,NA,False,Ground,BackHand,2.44 Metre,NA,NA,False,False,True,5.683,-2.912,0.041,Wide,,,,14.347,-4.923,1.437,-7.054,4.176,0.032,14.347,-4.923,1.437,-0.0,1.361,2.438,-7.054,4.176,0.032,1937.4,0,0,0,0,0,0,3,0,35398,32390,0,2,0,0
1_4_1_1,1,4,1,1,32390,35398,32390,DeuceCourt,206.88 KPH,NA,0.14 Metre,-11.436,-1.033,2.921,0,Faulty Serve,Net Error,True,NA,ForeHand,0.8 Metre,NA,Net Error,False,False,True,-0.144,1.03,0.045,T,,,,-11.436,-1.033,2.921,-0.144,1.03,0.045,,,,,,,,,,0,1,0,0,0,0,0,0,0,35398,32390,1,2,0,0
1_4_1_2,1,4,1,2,32390,35398,32390,DeuceCourt,149 KPH,Flat,NA,-11.627,-0.986,2.897,9,Forced Error,NA,False,Ground,ForeHand,3.74 Metre,NA,NA,False,False,True,4.572,0.688,0.051,T,,,,15.176,3.804,1.454,-12.885,-3.358,0.028,15.853,2.052,1.344,0.0,2.163,1.355,-5.622,2.413,0.038,3143.94,0,0,0,0,0,0,0,0,35398,32390,1,2,0,0
1_4_2_1,1,4,2,1,32390,35398,32390,AdCourt,200 KPH,Flat,NA,-11.388,0.824,2.822,1,Forced Error,NA,False,Ground,ForeHand,NA,NA,NA,False,False,True,5.391,-2.155,0.044,Body,,,,13.648,-3.507,1.258,-12.885,4.615,0.026,13.648,-3.507,1.258,0.0,0.663,4.299,-12.885,4.615,0.026,0,0,0,0,0,0,0,1,0,35398,32390,1,2,0,0
