point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,ATPD643,ATPCG94,ATPD643,DeuceCourt,200 KPH,Flat,NA,-11.242,-0.814,2.848,1,Ace,NA,False,NA,ForeHand,1.21 Metre,Cross Court,NA,False,False,True,6.321,0.356,0.034,T,1.214,-0.0,-0.147,-11.242,-0.814,2.848,6.321,0.356,0.034,,,,,,,,,,0,0,0,0,1,0,0,0,0,ATPD643,ATPCG94,0,0,0,0
1_1_2_1,1,1,2,1,ATPD643,ATPCG94,ATPD643,AdCourt,194 KPH,Flat,NA,-11.338,0.576,2.83,1,Forced Error,NA,True,NA,BackHand,0.78 Metre,NA,NA,False,False,True,6.094,-3.155,0.031,Wide,1.177,-0.0,-1.924,13.856,-4.556,1.08,0.486,-3.293,0.036,13.856,-4.556,1.08,-0.012,-2.813,0.783,0.486,-3.293,0.036,1042.32,0,0,0,0,0,1,1,0,ATPD643,ATPCG94,0,0,0,0
1_1_3_1,1,1,3,1,ATPD643,ATPCG94,ATPD643,DeuceCourt,186 KPH,Slice,NA,-11.269,-0.789,2.829,5,Winner,NA,False,NA,ForeHand,1.68 Metre,Down the Line,NA,False,False,True,6.367,3.322,0.034,Wide,1.247,-0.0,1.677,-2.707,-0.983,0.589,3.4,-0.075,0.034,13.583,5.457,0.937,0.0,1.619,0.982,-2.37,0.945,0.037,0,0,0,0,0,0,0,2,0,ATPD643,ATPCG94,0,0,0,0
1_1_4_1,1,1,4,1,ATPD643,ATPCG94,ATPD643,AdCourt,202.42 KPH,Flat,0.02 Metre,-11.342,0.39,2.878,0,Faulty Serve,Wide Error,False,NA,ForeHand,1.17 Metre,NA,Wide Error,False,False,True,6.086,-4.132,0.032,Wide,1.17,-0.0,-2.542,-11.342,0.39,2.878,6.086,-4.132,0.032,,,,,,,,,,NA,1,0,0,0,0,0,3,0,ATPD643,ATPCG94,0,0,0,0
1_1_4_2,1,1,4,2,ATPD643,ATPCG94,ATPD643,AdCourt,170 KPH,NA,NA,-11.35,0.514,2.878,7,Winner,NA,False,Volley,ForeHand,1.42 Metre,Cross Court,NA,False,False,True,5.596,-0.303,0.036,T,1.228,-0.0,-0.198,-4.227,-1.142,1.831,7.171,2.679,0.035,12.914,-0.188,1.199,0.0,-0.267,1.512,-6.223,-0.205,0.033,NA,0,0,0,0,0,0,3,0,ATPD643,ATPCG94,0,0,0,0
1_2_1_1,1,2,1,1,ATPCG94,ATPD643,ATPCG94,DeuceCourt,202 KPH,Slice,NA,-11.332,-0.957,2.788,9,Unforced Error,NA,False,Ground,BackHand,1.83 Metre,NA,Wide Error,False,False,True,5.289,0.709,0.036,T,1.064,-0.0,0.1,13.239,-2.083,1.526,-10.521,-4.369,0.033,14.38,1.948,1.162,0.0,0.861,2.604,-11.415,0.418,0.032,1389.54,0,0,0,0,0,0,0,0,ATPD643,ATPCG94,1,0,0,0
1_2_2_1,1,2,2,1,ATPCG94,ATPD643,ATPCG94,AdCourt,184.48 KPH,NA,0.47 Metre,-11.018,1.211,2.718,0,Faulty Serve,Net Error,True,NA,ForeHand,0.8 Metre,NA,Net Error,False,False,True,-0.467,-0.689,0.034,T,0.802,0.012,-0.238,-11.018,1.211,2.718,-0.467,-0.689,0.034,,,,,,,,,,0,1,0,0,0,0,0,1,0,ATPD643,ATPCG94,1,0,0,0
1_2_2_2,1,2,2,2,ATPCG94,ATPD643,ATPCG94,AdCourt,135 KPH,Kick,NA,-11.463,1.224,2.794,5,Unforced Error,NA,True,Ground,ForeHand,0.93 Metre,NA,Net Error,False,False,True,4.48,-1.503,0.035,Body,1.214,0.0,-0.974,14.544,-1.397,1.231,0.303,-2.554,0.036,11.418,-2.406,1.708,0.0,-0.259,1.26,-7.083,1.218,0.032,3181.62,0,0,0,0,0,0,1,0,ATPD643,ATPCG94,1,0,0,0
1_2_3_1,1,2,3,1,ATPCG94,ATPD643,ATPCG94,DeuceCourt,205.77 KPH,NA,0.28 Metre,-11.015,-0.89,2.703,0,Faulty Serve,Net Error,True,NA,ForeHand,0.85 Metre,NA,Net Error,False,False,True,-0.277,0.292,0.035,T,0.85,0.091,0.109,-11.015,-0.89,2.703,-0.277,0.292,0.035,,,,,,,,,,0,1,0,0,0,0,0,2,0,ATPD643,ATPCG94,1,0,0,0
1_2_3_2,1,2,3,2,ATPCG94,ATPD643,ATPD643,DeuceCourt,134 KPH,Flat,NA,-11.291,-0.669,2.721,4,Forced Error,NA,False,Ground,ForeHand,2.71 Metre,NA,NA,False,False,True,5.072,0.206,0.036,T,1.311,0.0,-0.314,-14.329,-3.131,0.748,12.885,-2.605,0.03,11.235,0.75,1.504,0.0,1.511,0.985,-3.72,1.765,0.035,2405.52,0,0,0,0,0,0,2,0,ATPD643,ATPCG94,1,0,0,0
