point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,ATPFB98,ATPBG23,,DeuceCourt,220.02 KPH,Flat,1.92 Metre,-11.327,-0.95,2.905,0,Faulty Serve,Long Error,False,NA,BackHand,1.42 Metre,NA,NA,False,False,True,8.324,1.048,0.037,T,1.423,0.0,0.157,-11.327,-0.95,2.905,8.324,1.048,0.037,,,,,,,,,,0,1,0,0,0,0,0,0,0,ATPFB98,ATPBG23,0,0,0,0
1_1_1_2,1,1,1,2,ATPFB98,ATPBG23,ATPFB98,DeuceCourt,149 KPH,Kick,NA,-11.482,-1.025,2.957,7,Winner,NA,False,Ground,BackHand,0.96 Metre,Down the Line,NA,False,False,True,4.797,1.069,0.036,T,1.258,0.0,0.227,-13.131,2.89,0.732,3.274,0.757,0.036,12.525,2.381,1.636,0.0,1.025,1.174,-7.075,0.094,0.037,1724.58,0,0,0,0,0,0,0,0,ATPFB98,ATPBG23,0,0,0,0
1_1_2_1,1,1,2,1,ATPFB98,ATPBG23,ATPFB98,AdCourt,195.07 KPH,Pronated,2.75 Metre,-11.437,0.691,2.969,0,Faulty Serve,Long Error,False,NA,BackHand,0.92 Metre,NA,NA,False,False,True,9.155,-1.779,0.032,Body,0.915,0.015,-0.14,-11.437,0.691,2.969,9.155,-1.779,0.032,,,,,,,,,,0,1,0,0,0,0,0,1,0,ATPFB98,ATPBG23,0,0,0,0
1_1_2_2,1,1,2,2,ATPFB98,ATPBG23,ATPFB98,AdCourt,163 KPH,Kick,NA,-11.527,0.825,2.954,1,Unforced Error,NA,False,Ground,BackHand,2.01 Metre,NA,Long Error,False,False,True,5.197,-2.029,0.034,Body,1.302,-0.0,-1.359,11.572,-2.887,1.559,-12.206,3.288,0.034,11.572,-2.887,1.559,0.0,0.261,2.007,-12.206,3.288,0.034,1513.62,0,0,0,0,0,0,1,0,ATPFB98,ATPBG23,0,0,0,0
1_1_3_1,1,1,3,1,ATPFB98,ATPBG23,ATPFB98,DeuceCourt,180 KPH,Slice,NA,-11.307,-0.901,2.922,1,Forced Error,NA,False,NA,ForeHand,1.57 Metre,NA,NA,False,False,True,4.596,3.57,0.031,Wide,1.071,-0.0,2.149,12.338,6.2,1.449,-9.449,-4.738,0.033,12.338,6.2,1.449,0.0,0.02,1.567,-9.449,-4.738,0.033,1484.04,0,0,0,0,0,0,2,0,ATPFB98,ATPBG23,0,0,0,0
1_1_4_1,1,1,4,1,ATPFB98,ATPBG23,ATPBG23,AdCourt,197 KPH,Flat,NA,-11.345,0.355,2.938,2,Unforced Error,NA,False,Ground,ForeHand,2.07 Metre,NA,Long Error,False,False,True,5.193,-3.563,0.033,Wide,1.089,-0.0,-2.359,-11.396,1.877,0.605,12.885,4.62,0.031,13.189,-5.362,1.354,-0.0,-1.534,2.75,-10.604,1.61,0.033,2606.16,0,0,0,0,0,0,3,0,ATPFB98,ATPBG23,0,0,0,0
1_1_5_1,1,1,5,1,ATPFB98,ATPBG23,ATPFB98,DeuceCourt,206 KPH,Flat,NA,-11.354,-1.079,2.939,1,Forced Error,NA,False,Ground,BackHand,2.7 Metre,NA,NA,False,False,True,5.842,0.882,0.037,T,1.165,-0.0,0.233,13.519,1.786,1.255,-5.488,4.615,0.034,13.519,1.786,1.255,0.0,6.496,2.703,-5.488,4.615,0.034,1179.84,0,0,0,0,0,0,3,1,ATPFB98,ATPBG23,0,0,0,0
1_2_1_1,1,2,1,1,ATPBG23,ATPFB98,,DeuceCourt,190.31 KPH,Pronated,1.87 Metre,-11.359,-1.407,2.747,0,Faulty Serve,Long Error,False,NA,ForeHand,0.96 Metre,NA,Wide Error,False,False,True,8.179,4.681,0.033,Wide,0.962,0.016,2.3,-11.359,-1.407,2.747,8.179,4.681,0.033,,,,,,,,,,NA,1,0,0,0,0,0,0,0,ATPFB98,ATPBG23,1,0,0,0
1_2_1_2,1,2,1,2,ATPBG23,ATPFB98,ATPFB98,DeuceCourt,161 KPH,Slice,NA,-11.735,-1.532,2.759,2,Unforced Error,NA,True,Ground,ForeHand,0.91 Metre,NA,Net Error,False,False,True,4.997,2.009,0.036,Body,1.126,-0.0,0.737,-13.432,-1.259,0.898,-0.201,-2.448,0.03,12.287,4.111,1.332,0.0,1.418,1.254,-7.174,-0.024,0.037,2730.6,0,0,0,0,0,0,0,0,ATPFB98,ATPBG23,1,0,0,0
1_2_2_1,1,2,2,1,ATPBG23,ATPFB98,ATPBG23,AdCourt,198 KPH,Flat,NA,-11.503,1.467,2.758,15,Winner,NA,False,Overhead,ForeHand,1.29 Metre,Cross Court,NA,False,False,True,4.797,-0.859,0.036,T,0.992,-0.0,-0.219,-4.511,0.077,2.543,4.039,-2.11,0.033,13.868,-1.894,1.303,0.0,-2.505,6.126,-9.647,-3.22,0.033,0,0,0,0,0,0,0,0,1,ATPFB98,ATPBG23,1,0,0,0
