point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,ATPGE33,ATPKB95,ATPGE33,DeuceCourt,177 KPH,Slice,NA,10.99,0.652,2.928,1,Ace,NA,False,NA,ForeHand,1.01 Metre,Cross Court,NA,False,False,True,-4.137,-3.89,0.031,Wide,1.015,0.0,-2.538,10.99,0.652,2.928,-4.137,-3.89,0.031,,,,,,,,,,NA,0,0,0,1,0,0,0,0,ATPGE33,ATPKB95,0,0,0,0
1_1_2_1,1,1,2,1,ATPGE33,ATPKB95,ATPGE33,AdCourt,186 KPH,Pronated,NA,10.879,-1.586,2.954,1,Ace,NA,False,NA,ForeHand,1 Metre,Cross Court,NA,False,False,True,-4.27,3.77,0.033,Wide,0.999,0.0,2.268,10.879,-1.586,2.954,-4.27,3.77,0.033,,,,,,,,,,NA,0,0,0,1,0,1,1,0,ATPGE33,ATPKB95,0,0,0,0
1_1_3_1,1,1,3,1,ATPGE33,ATPKB95,ATPGE33,DeuceCourt,200 KPH,Flat,NA,10.936,0.547,2.901,1,Ace,NA,False,NA,ForeHand,1.14 Metre,Cross Court,NA,False,False,True,-5.529,-0.167,0.035,T,1.139,0.0,0.088,10.936,0.547,2.901,-5.529,-0.167,0.035,,,,,,,,,,0,0,0,0,1,0,1,2,0,ATPGE33,ATPKB95,0,0,0,0
1_1_4_1,1,1,4,1,ATPGE33,ATPKB95,ATPGE33,AdCourt,199.07 KPH,Pronated,0.47 Metre,10.909,-1.596,2.928,0,Faulty Serve,Wide Error,False,NA,BackHand,1.19 Metre,NA,Wide Error,False,False,True,-5.509,4.583,0.034,Wide,1.193,0.0,2.516,10.909,-1.596,2.928,-5.509,4.583,0.034,,,,,,,,,,0,1,0,0,0,0,1,3,0,ATPGE33,ATPKB95,0,0,0,0
1_1_4_2,1,1,4,2,ATPGE33,ATPKB95,ATPGE33,AdCourt,143 KPH,Kick,NA,10.929,-1.77,2.851,1,Unforced Error,NA,True,NA,BackHand,0.9 Metre,NA,Net Error,False,False,True,-5.762,2.745,0.038,Wide,1.441,0.0,1.427,-15.119,5.002,1.586,-0.057,1.478,0.033,-15.119,5.002,1.586,0.07,1.725,0.897,-0.057,1.478,0.033,1657.62,0,0,0,0,0,0,3,0,ATPGE33,ATPKB95,0,0,0,0
1_2_1_1,1,2,1,1,ATPKB95,ATPGE33,,DeuceCourt,173.83 KPH,NA,0.35 Metre,11.131,0.727,2.696,0,Faulty Serve,Net Error,True,NA,BackHand,0.91 Metre,NA,Net Error,False,False,True,0.351,-2.679,0.027,Body,0.905,-0.08,-2.44,11.131,0.727,2.696,0.351,-2.679,0.027,,,,,,,,,,NA,1,0,0,0,0,0,0,0,ATPGE33,ATPKB95,1,0,0,0
1_2_1_2,1,2,1,2,ATPKB95,ATPGE33,ATPKB95,DeuceCourt,152 KPH,Slice,NA,11.467,0.521,2.761,17,Unforced Error,NA,True,Ground,BackHand,0.42 Metre,NA,Net Error,False,False,True,-6.249,-1.145,0.039,T,1.499,0.0,-0.196,-12.062,3.503,0.772,,,,-11.184,-1.899,1.335,-0.0,-1.583,1.977,9.92,-1.273,0.038,1628.04,0,0,0,0,0,0,0,0,ATPGE33,ATPKB95,1,0,0,0
1_2_2_1,1,2,2,1,ATPKB95,ATPGE33,ATPKB95,AdCourt,192.56 KPH,Slice,0.85 Metre,11.247,-1.081,2.734,0,Faulty Serve,Long Error,False,NA,BackHand,1.34 Metre,NA,NA,False,False,True,-7.25,0.662,0.036,T,1.341,0.0,0.103,11.247,-1.081,2.734,-7.25,0.662,0.036,,,,,,,,,,NA,1,0,0,0,0,0,1,0,ATPGE33,ATPKB95,1,0,0,0
1_2_2_2,1,2,2,2,ATPKB95,ATPGE33,ATPGE33,AdCourt,150 KPH,Flat,NA,11.391,-1.085,2.796,6,Unforced Error,NA,False,Ground,BackHand,2.27 Metre,NA,Long Error,False,False,True,-5.69,3.231,0.039,Wide,1.379,0.0,2.074,13.952,-2.278,0.881,-12.516,-1.197,0.043,-10.864,4.418,1.346,0.0,0.914,1.556,8.506,-1.77,0.038,1678.02,0,0,0,0,0,0,1,0,ATPGE33,ATPKB95,1,0,0,0
1_2_3_1,1,2,3,1,ATPKB95,ATPGE33,ATPKB95,DeuceCourt,186 KPH,Slice,NA,11.142,0.773,2.778,5,Unforced Error,NA,False,Ground,ForeHand,1.33 Metre,NA,NA,False,False,True,-4.888,-1.576,0.039,Body,1.027,0.0,-0.782,-13.053,2.424,0.957,7.247,-2.809,0.039,-13.149,-3.13,0.989,-0.0,-0.802,1.489,7.233,0.169,0.033,NA,0,0,0,0,0,0,1,1,ATPGE33,ATPKB95,1,0,0,0
