point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,ATPE865,ATPKF17,ATPE865,DeuceCourt,196 KPH,Kick,NA,11.251,0.757,3.088,1,Ace,NA,False,NA,ForeHand,0.97 Metre,Cross Court,NA,False,False,True,-4.171,-0.041,0.03,T,0.974,0.0,0.202,11.251,0.757,3.088,-4.171,-0.041,0.03,,,,,,,,,,NA,0,0,0,1,0,0,0,0,ATPE865,ATPKF17,0,0,0,0
1_1_2_1,1,1,2,1,ATPE865,ATPKF17,ATPE865,AdCourt,200.46 KPH,NA,0.35 Metre,11.149,-0.805,3.1,0,Faulty Serve,Net Error,True,NA,BackHand,0.94 Metre,NA,Net Error,False,False,True,0.348,2.971,0.032,Wide,0.945,-0.017,2.328,11.149,-0.805,3.1,0.348,2.971,0.032,,,,,,,,,,NA,1,0,0,0,0,1,1,0,ATPE865,ATPKF17,0,0,0,0
1_1_2_2,1,1,2,2,ATPE865,ATPKF17,ATPE865,AdCourt,145 KPH,Kick,NA,11.244,-0.909,3.042,1,Unforced Error,NA,False,NA,BackHand,2.25 Metre,NA,Long Error,False,False,True,-4.369,3.107,0.031,Wide,1.222,0.0,2.142,-10.376,4.635,1.633,12.68,0.392,0.032,-10.376,4.635,1.633,0.0,2.432,2.247,12.68,0.392,0.032,1001.94,0,0,0,0,0,0,1,0,ATPE865,ATPKF17,0,0,0,0
1_1_3_1,1,1,3,1,ATPE865,ATPKF17,ATPE865,DeuceCourt,188.38 KPH,Slice,0.31 Metre,11.244,0.968,3.042,0,Faulty Serve,Long Error,False,NA,ForeHand,1.42 Metre,NA,NA,False,False,True,-6.715,-3.702,0.029,Wide,1.415,0.0,-1.816,11.244,0.968,3.042,-6.715,-3.702,0.029,,,,,,,,,,NA,1,0,0,0,0,0,2,0,ATPE865,ATPKF17,0,0,0,0
1_1_3_2,1,1,3,2,ATPE865,ATPKF17,ATPE865,DeuceCourt,182 KPH,Flat,NA,11.252,0.762,3.014,3,Winner,NA,False,Ground,ForeHand,1.54 Metre,Cross Court,NA,False,False,True,-5.527,-3.006,0.027,Wide,1.271,0.0,-1.65,11.294,2.321,0.935,-8.684,-3.769,0.031,-10.68,-4.337,1.189,0.0,-0.992,1.142,4.993,0.512,0.028,2927.76,0,0,0,0,0,0,2,0,ATPE865,ATPKF17,0,0,0,0
1_1_4_1,1,1,4,1,ATPE865,ATPKF17,ATPE865,AdCourt,203.01 KPH,Pronated,0.22 Metre,11.129,-0.757,3.032,0,Faulty Serve,Wide Error,False,NA,ForeHand,0.99 Metre,NA,Wide Error,False,False,True,-4.727,4.335,0.032,Wide,0.993,-0.029,2.757,11.129,-0.757,3.032,-4.727,4.335,0.032,,,,,,,,,,NA,1,0,0,0,0,0,3,0,ATPE865,ATPKF17,0,0,0,0
1_1_4_2,1,1,4,2,ATPE865,ATPKF17,ATPE865,AdCourt,187 KPH,Flat,NA,11.184,-0.874,3.027,1,Forced Error,NA,False,NA,ForeHand,2.16 Metre,NA,NA,False,False,True,-4.797,0.959,0.03,T,1.115,0.0,0.497,-11.083,1.511,1.365,9.838,-4.62,0.031,-11.083,1.511,1.365,-0.0,-1.398,2.163,9.838,-4.62,0.031,1813.74,0,0,0,0,0,0,3,0,ATPE865,ATPKF17,0,0,0,0
1_2_1_1,1,2,1,1,ATPKF17,ATPE865,ATPKF17,DeuceCourt,188 KPH,Flat,NA,11.284,1.05,2.743,3,Unforced Error,NA,True,Ground,BackHand,0.67 Metre,NA,Net Error,False,False,True,-6.004,-0.526,0.029,T,1.147,0.0,0.07,-12.84,3.327,0.748,-0.562,-0.075,0.035,-13.722,-1.373,1.117,0.0,-2.065,1.408,6.154,-2.456,0.028,2472.96,0,0,0,0,0,0,0,0,ATPE865,ATPKF17,1,0,0,0
1_2_2_1,1,2,2,1,ATPKF17,ATPE865,ATPKF17,AdCourt,192 KPH,Flat,NA,11.235,-0.996,2.742,13,Winner,NA,False,Ground,ForeHand,1.4 Metre,Cross Court,NA,False,False,True,-5.267,3.291,0.034,Wide,1.08,0.0,1.935,13.137,3.232,0.915,-7.5,-3.061,0.028,-12.888,5.252,1.199,0.0,1.184,1.819,9.289,-1.802,0.033,2819.82,0,0,0,0,0,0,1,0,ATPE865,ATPKF17,1,0,0,0
1_2_3_1,1,2,3,1,ATPKF17,ATPE865,ATPKF17,DeuceCourt,191 KPH,Flat,NA,11.37,0.932,2.715,1,Forced Error,NA,False,NA,BackHand,3.58 Metre,NA,NA,False,False,True,-6.109,-0.682,0.029,T,1.206,0.0,-0.1,-13.447,-1.468,1.179,12.885,-2.339,0.036,-13.447,-1.468,1.179,0.0,-1.839,3.584,12.885,-2.339,0.036,NA,0,0,0,0,0,0,2,0,ATPE865,ATPKF17,1,0,0,0
