point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,ATPV812,ATPGJ37,ATPV812,DeuceCourt,188 KPH,Slice,NA,11.442,0.558,2.831,5,Winner,NA,False,Ground,ForeHand,1.36 Metre,Cross Court,NA,False,False,True,-6.296,-4.046,0.033,Wide,1.271,0.0,-2.254,13.301,-0.675,1.202,-9.25,3.455,0.029,-13.708,-6.29,1.408,-0.0,-2.829,1.472,8.046,-0.974,0.039,2835.24,0,0,0,0,0,0,0,0,ATPV812,ATPGJ37,0,0,0,0
1_1_2_1,1,1,2,1,ATPV812,ATPGJ37,ATPGJ37,AdCourt,193 KPH,Flat,NA,11.297,-1.024,2.888,4,Forced Error,NA,True,Ground,ForeHand,0.38 Metre,NA,NA,False,False,True,-5.313,0.843,0.033,T,1.127,0.0,0.307,15.662,4.025,0.872,0.732,0.104,0.036,-14.533,1.619,1.237,-0.0,0.052,1.374,8.334,-0.85,0.039,2267.4,0,0,0,0,0,0,1,0,ATPV812,ATPGJ37,0,0,0,0
1_1_3_1,1,1,3,1,ATPV812,ATPGJ37,ATPV812,DeuceCourt,205 KPH,Flat,NA,11.269,0.5,2.865,3,Forced Error,NA,True,Ground,ForeHand,0.55 Metre,NA,NA,False,False,True,-4.622,-0.583,0.034,T,0.976,0.0,-0.255,-15.782,-4.627,0.694,-0.425,1.134,0.033,-14.252,-1.345,1.263,0.0,0.951,1.177,4.129,1.67,0.039,2887.68,0,0,0,0,0,0,1,1,ATPV812,ATPGJ37,0,0,0,0
1_1_4_1,1,1,4,1,ATPV812,ATPGJ37,ATPV812,AdCourt,209.66 KPH,NA,NA,11.311,-0.937,2.872,0,Faulty Serve,NA,True,NA,ForeHand,0.92 Metre,NA,NA,False,False,True,,,,,0.921,0.0,1.373,11.311,-0.937,2.872,,,,,,,,,,,,,0,1,0,0,0,0,0,2,1,ATPV812,ATPGJ37,0,0,0,0
1_1_4_2,1,1,4,2,ATPV812,ATPGJ37,ATPV812,AdCourt,157 KPH,Slice,NA,11.342,-1.18,2.9,5,Forced Error,NA,False,Ground,ForeHand,2.04 Metre,NA,NA,False,False,True,-5.463,2.685,0.036,Body,1.302,0.0,1.593,-12.885,-3.579,1.075,12.65,4.525,0.031,-12.879,3.973,1.433,-0.0,0.252,1.772,7.001,-1.474,0.038,1806,0,0,0,0,0,0,2,1,ATPV812,ATPGJ37,0,0,0,0
1_1_5_1,1,1,5,1,ATPV812,ATPGJ37,ATPV812,DeuceCourt,212 KPH,Flat,NA,11.326,0.471,2.851,1,Forced Error,NA,True,NA,BackHand,1.19 Metre,NA,NA,False,False,True,-6.262,-0.553,0.036,T,1.192,0.0,-0.179,-14.402,-1.125,1.267,-0.617,2.198,0.028,,,,,,,,,,NA,0,0,0,0,0,0,3,1,ATPV812,ATPGJ37,0,0,0,0
1_2_1_1,1,2,1,1,ATPGJ37,ATPV812,ATPGJ37,DeuceCourt,195 KPH,Flat,NA,11.308,1.289,2.933,1,Winner,NA,False,NA,BackHand,1.19 Metre,Cross Court,NA,False,False,True,-5.669,-0.124,0.033,T,1.186,0.0,0.363,11.308,1.289,2.933,-5.669,-0.124,0.033,,,,,,,,,,NA,0,0,0,0,0,0,0,0,ATPV812,ATPGJ37,1,0,0,0
1_2_2_1,1,2,2,1,ATPGJ37,ATPV812,ATPGJ37,AdCourt,208.01 KPH,NA,0.3 Metre,11.408,-1.642,2.907,0,Faulty Serve,Net Error,True,NA,ForeHand,0.92 Metre,NA,Net Error,False,False,True,0.298,2.594,0.033,Body,0.916,-0.01,2.051,11.408,-1.642,2.907,0.298,2.594,0.033,,,,,,,,,,NA,1,0,0,0,0,0,1,0,ATPV812,ATPGJ37,1,0,0,0
1_2_2_2,1,2,2,2,ATPGJ37,ATPV812,ATPV812,AdCourt,169 KPH,Kick,NA,11.453,-1.667,2.934,2,Unforced Error,NA,False,Ground,ForeHand,2.05 Metre,NA,Long Error,False,False,True,-4.457,2.339,0.032,Body,1.104,0.0,1.327,11.871,1.164,0.888,-12.521,-3.802,0.03,-12.276,4.088,1.543,-0.0,2.263,1.486,7.013,1.489,0.038,3010.8,0,0,0,0,0,0,1,0,ATPV812,ATPGJ37,1,0,0,0
1_2_3_1,1,2,3,1,ATPGJ37,ATPV812,ATPGJ37,DeuceCourt,194 KPH,Flat,NA,11.417,1.136,2.846,1,Forced Error,NA,True,NA,BackHand,0.24 Metre,NA,NA,False,False,True,-6.212,-1.045,0.037,T,1.205,0.0,-0.236,-14.028,-2.126,1.195,-0.27,-0.618,0.033,-14.028,-2.126,1.195,0.006,-0.512,0.243,-0.27,-0.618,0.033,1446.96,0,0,0,0,0,0,1,1,ATPV812,ATPGJ37,1,0,0,0
1_2_4_1,1,2,4,1,ATPGJ37,ATPV812,ATPGJ37,AdCourt,196 KPH,Slice,NA,11.337,-1.565,2.894,1,Forced Error,NA,False,NA,ForeHand,2.6 Metre,NA,NA,False,False,True,-4.622,0.404,0.034,T,1.006,0.0,-0.07,-14.301,1.218,1.186,12.885,-0.762,0.034,-14.301,1.218,1.186,-0.0,0.124,2.596,12.885,-0.762,0.034,1560.06,0,0,0,0,0,0,2,1,ATPV812,ATPGJ37,1,0,0,0
1_2_5_1,1,2,5,1,ATPGJ37,ATPV812,ATPV812,DeuceCourt,199 KPH,Flat,NA,11.43,1.201,2.91,2,Unforced Error,NA,False,Ground,ForeHand,2.23 Metre,NA,Long Error,False,False,True,-4.9,-1.279,0.034,T,1.016,0.0,-0.49,11.316,1.796,0.738,-12.466,1.875,0.032,-13.746,-2.782,1.218,0.0,-0.381,1.264,7.176,0.964,0.037,2972.52,0,0,0,0,0,0,3,1,ATPV812,ATPGJ37,1,0,0,0
1_2_6_1,1,2,6,1,ATPGJ37,ATPV812,ATPV812,AdCourt,190 KPH,Flat,NA,11.365,-1.452,2.941,10,Unforced Error,NA,True,Ground,BackHand,0.84 Metre,NA,Net Error,False,False,True,-4.559,0.483,0.034,T,1.037,0.0,-0.01,15.375,-2.901,1.293,0.111,1.133,0.035,-14.153,1.469,1.338,0.0,0.499,1.996,9.081,-0.06,0.038,1653.36,0,0,0,0,0,0,3,2,ATPV812,ATPGJ37,1,0,0,0
1_2_7_1,1,2,7,1,ATPGJ37,ATPV812,ATPGJ37,DeuceCourt,198 KPH,Flat,NA,11.333,1.194,2.864,1,Ace,NA,False,NA,ForeHand,1.1 Metre,Cross Court,NA,False,False,True,-5.31,-0.195,0.033,T,1.103,0.0,0.256,11.333,1.194,2.864,-5.31,-0.195,0.033,,,,,,,,,,NA,0,0,0,1,0,0,3,3,ATPV812,ATPGJ37,1,0,0,0
1_2_8_1,1,2,8,1,ATPGJ37,ATPV812,ATPGJ37,AdCourt,184 KPH,Pronated,NA,11.374,-1.504,2.944,1,Ace,NA,False,NA,ForeHand,1.03 Metre,Cross Court,NA,False,False,True,-4.697,3.808,0.032,Wide,1.035,-0.0,2.265,11.374,-1.504,2.944,-4.697,3.808,0.032,,,,,,,,,,NA,0,0,0,1,0,1,4,3,ATPV812,ATPGJ37,1,0,0,0
1_3_1_1,1,3,1,1,ATPV812,ATPGJ37,ATPV812,DeuceCourt,197.85 KPH,Flat,0.42 Metre,-11.407,-0.644,2.917,0,Faulty Serve,Long Error,False,NA,BackHand,1.35 Metre,NA,NA,False,False,True,6.824,1.109,0.038,T,1.351,-0.0,0.4,-11.407,-0.644,2.917,6.824,1.109,0.038,,,,,,,,,,NA,1,0,0,0,0,1,0,0,ATPV812,ATPGJ37,1,1,0,0
1_3_1_2,1,3,1,2,ATPV812,ATPGJ37,ATPV812,DeuceCourt,157 KPH,Slice,NA,-11.363,-0.497,2.915,17,Unforced Error,NA,True,Ground,BackHand,0.71 Metre,NA,Net Error,False,False,True,4.917,0.751,0.038,T,1.248,-0.0,0.188,13.777,-2.464,1.164,0.286,-2.963,0.033,16.715,2.351,1.442,0.0,0.028,1.991,-9.58,-1.489,0.034,1799.94,0,0,0,0,0,0,0,0,ATPV812,ATPGJ37,1,1,0,0
1_3_2_1,1,3,2,1,ATPV812,ATPGJ37,ATPGJ37,AdCourt,190 KPH,Flat,NA,-11.143,1.285,2.872,12,Unforced Error,NA,False,Ground,ForeHand,1.33 Metre,NA,Wide Error,False,False,True,4.616,-2.546,0.03,Body,1.007,0.0,-1.486,-14.445,-4.423,1.59,8.908,-4.38,0.024,13.899,-4.614,1.317,0.0,-1.892,1.381,-5.769,-0.978,0.037,2138.28,0,0,0,0,0,0,1,0,ATPV812,ATPGJ37,1,1,0,0
1_3_3_1,1,3,3,1,ATPV812,ATPGJ37,ATPV812,DeuceCourt,210 KPH,Flat,NA,-11.279,-0.564,2.863,3,Forced Error,NA,True,Ground,ForeHand,1.62 Metre,NA,NA,False,False,True,6.281,0.718,0.037,T,1.221,-0.0,0.205,16.168,4.234,1.08,0.337,-1.053,0.035,14.252,1.557,1.26,0.0,-0.543,1.92,-6.733,-1.147,0.037,2452.74,0,0,0,0,0,0,1,1,ATPV812,ATPGJ37,1,1,0,0
1_3_4_1,1,3,4,1,ATPV812,ATPGJ37,ATPV812,AdCourt,187 KPH,Slice,NA,-11.294,1.062,2.875,15,Unforced Error,NA,True,Ground,BackHand,0.94 Metre,NA,Net Error,False,False,True,5.569,-0.47,0.038,T,1.197,-0.0,-0.052,14.753,-5.052,0.909,0.297,-2.391,0.033,14.532,-0.906,1.468,0.0,-0.661,2.269,-10.845,-0.133,0.036,2337,0,0,0,0,0,0,2,1,ATPV812,ATPGJ37,1,1,0,0
1_3_5_1,1,3,5,1,ATPV812,ATPGJ37,ATPV812,DeuceCourt,206 KPH,Flat,NA,-11.141,-0.677,2.845,1,Forced Error,NA,False,NA,BackHand,2.31 Metre,NA,NA,False,False,True,5.201,0.582,0.038,T,1.052,-0.0,0.139,14.317,1.544,1.161,-7.729,-4.615,0.036,14.317,1.544,1.161,0.0,-2.874,2.313,-7.729,-4.615,0.036,NA,0,0,0,0,0,0,3,1,ATPV812,ATPGJ37,1,1,0,0
1_4_1_1,1,4,1,1,ATPGJ37,ATPV812,ATPGJ37,DeuceCourt,177 KPH,Slice,NA,-11.403,-1.24,2.946,1,Forced Error,NA,True,NA,ForeHand,0.46 Metre,NA,NA,False,False,True,5.577,3.991,0.04,Wide,1.259,0.0,2.12,12.821,6.669,1.25,0.109,3.305,0.032,12.821,6.669,1.25,-0.009,3.621,0.464,0.109,3.305,0.032,1799.58,0,0,0,0,0,0,0,0,ATPV812,ATPGJ37,2,1,0,0
