point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,ATPD875,ATPF724,,DeuceCourt,201.46 KPH,NA,1.1 Metre,11.491,0.397,2.92,0,Faulty Serve,Long Error,False,NA,ForeHand,1.39 Metre,NA,NA,False,False,True,-7.5,0.418,0.037,T,1.385,0.0,0.498,11.491,0.397,2.92,-7.5,0.418,0.037,,,,,,,,,,NA,1,0,0,0,0,0,0,0,ATPD875,ATPF724,0,0,0,0
1_1_1_2,1,1,1,2,ATPD875,ATPF724,ATPF724,DeuceCourt,157 KPH,Flat,NA,11.689,0.197,2.959,8,Winner,NA,False,Passing,ForeHand,1.26 Metre,Cross Court,NA,False,False,True,-5.975,-0.097,0.037,T,1.432,0.0,0.239,-9.71,-1.704,0.926,6.629,2.665,0.034,-11.368,-0.367,1.337,0.0,-0.411,2.946,11.348,-0.891,0.035,2853.42,0,0,0,0,0,0,0,0,ATPD875,ATPF724,0,0,0,0
1_1_2_1,1,1,2,1,ATPD875,ATPF724,ATPF724,AdCourt,201.18 KPH,Flat,0.96 Metre,11.374,-1.421,2.888,0,Faulty Serve,Long Error,False,NA,ForeHand,1.43 Metre,NA,NA,False,False,True,-7.361,3.969,0.032,Wide,1.428,-0.0,1.954,11.374,-1.421,2.888,-7.361,3.969,0.032,,,,,,,,,,NA,1,0,0,0,0,0,0,1,ATPD875,ATPF724,0,0,0,0
1_1_2_2,1,1,2,2,ATPD875,ATPF724,ATPF724,AdCourt,128 KPH,Kick,NA,11.507,-1.773,2.981,2,Unforced Error,NA,False,Ground,ForeHand,1.74 Metre,NA,Wide Error,False,False,True,-4.442,3.564,0.033,Wide,1.302,0.0,2.342,13.056,-2.28,0.96,-8.83,4.233,0.031,-10.19,5.455,1.711,-0.0,1.87,1.821,9.734,-1.296,0.035,2413.14,0,0,0,0,0,0,0,1,ATPD875,ATPF724,0,0,0,0
1_1_3_1,1,1,3,1,ATPD875,ATPF724,ATPF724,DeuceCourt,0 KPH,Pronated,0.16 Metre,11.502,0.509,2.925,0,Faulty Serve,Net Error,True,NA,ForeHand,0.85 Metre,NA,Net Error,False,False,True,0.158,-1.903,0.036,Body,0.855,-0.156,-1.974,11.502,0.509,2.925,0.158,-1.903,0.036,,,,,,,,,,NA,1,0,0,0,0,0,0,2,ATPD875,ATPF724,0,0,0,0
1_1_3_2,1,1,3,2,ATPD875,ATPF724,ATPF724,DeuceCourt,161 KPH,Slice,NA,11.616,0.296,2.936,6,Unforced Error,NA,True,Ground,ForeHand,0.71 Metre,NA,Net Error,False,False,True,-6.17,-0.934,0.036,T,1.445,0.0,-0.238,12.738,0.115,1.119,,,,-11.363,-1.535,1.31,-0.046,-0.832,0.956,5.92,-0.564,0.037,3642.6,0,0,0,0,0,0,0,2,ATPD875,ATPF724,0,0,0,0
1_1_4_1,1,1,4,1,ATPD875,ATPF724,ATPF724,AdCourt,194 KPH,Flat,NA,11.445,-1.627,2.898,8,Unforced Error,NA,False,Ground,BackHand,2.19 Metre,NA,Long Error,True,True,True,-4.247,0.789,0.036,T,0.95,0.0,0.211,12.778,-2.796,0.764,-12.25,2.652,0.035,-13.395,1.915,1.472,-0.0,0.578,1.378,5.19,0.161,0.035,NA,0,0,0,0,0,0,0,3,ATPD875,ATPF724,0,0,0,0
1_2_1_1,1,2,1,1,ATPF724,ATPD875,,DeuceCourt,179.58 KPH,Slice,1.22 Metre,11.478,1.554,2.866,0,Faulty Serve,Long Error,False,NA,ForeHand,1.44 Metre,NA,NA,False,False,True,-7.625,-2.445,0.033,Body,1.444,-0.0,-0.617,11.478,1.554,2.866,-7.625,-2.445,0.033,,,,,,,,,,NA,1,0,0,0,0,0,0,0,ATPD875,ATPF724,0,1,0,0
1_2_1_2,1,2,1,2,ATPF724,ATPD875,ATPF724,DeuceCourt,134 KPH,Kick,NA,11.637,0.673,2.911,1,Unforced Error,NA,False,Ground,ForeHand,1.99 Metre,NA,Long Error,False,False,True,-4.556,-1.287,0.037,T,1.293,0.0,-0.563,-11.47,-2.203,1.676,12.686,1.913,0.032,-11.47,-2.203,1.676,0.0,-0.034,1.992,12.686,1.913,0.032,1395.3,0,0,0,0,0,0,0,0,ATPD875,ATPF724,0,1,0,0
1_2_2_1,1,2,2,1,ATPF724,ATPD875,ATPF724,AdCourt,168.07 KPH,NA,0.13 Metre,11.446,-1.156,2.9,0,Faulty Serve,Net Error,True,NA,BackHand,0.84 Metre,NA,Net Error,False,False,True,0.132,2.803,0.033,Wide,0.841,0.013,1.867,11.446,-1.156,2.9,0.132,2.803,0.033,,,,,,,,,,NA,1,0,0,0,0,0,1,0,ATPD875,ATPF724,0,1,0,0
1_2_2_2,1,2,2,2,ATPF724,ATPD875,ATPF724,AdCourt,139 KPH,Pronated,NA,11.606,-1.479,2.918,1,Unforced Error,NA,True,Ground,BackHand,0.86 Metre,NA,Net Error,False,False,True,-4.027,2.796,0.033,Wide,1.163,0.0,1.88,-10.579,4.743,1.681,-0.2,1.233,0.035,-10.579,4.743,1.681,0.096,1.472,0.859,-0.2,1.233,0.035,NA,0,0,0,0,0,0,1,0,ATPD875,ATPF724,0,1,0,0
1_2_3_1,1,2,3,1,ATPF724,ATPD875,ATPF724,DeuceCourt,177 KPH,Kick,NA,11.499,0.702,2.843,3,Winner,NA,False,Ground,ForeHand,1.53 Metre,Down the Line,NA,False,False,True,-4.088,-0.764,0.036,T,0.965,0.0,-0.29,11.48,-0.757,1.301,-10.258,-3.896,0.032,-12.469,-1.818,1.592,-0.0,-1.386,1.755,7.293,-0.9,0.036,2434.32,0,0,0,0,0,0,2,0,ATPD875,ATPF724,0,1,0,0
1_2_4_1,1,2,4,1,ATPF724,ATPD875,ATPF724,AdCourt,160 KPH,Kick,NA,11.532,-1.654,2.833,1,Forced Error,NA,False,Ground,BackHand,2.99 Metre,NA,NA,False,False,True,-4.343,3.014,0.033,Wide,1.095,-0.0,1.874,-11.963,5.062,1.761,11.973,4.615,0.033,-11.963,5.062,1.761,0.0,5.387,2.987,11.973,4.615,0.033,1098.84,0,0,0,0,0,0,3,0,ATPD875,ATPF724,0,1,0,0
1_3_1_1,1,3,1,1,ATPD875,ATPF724,ATPD875,DeuceCourt,201 KPH,Flat,NA,-11.397,-0.805,2.896,3,Forced Error,NA,False,Passing,BackHand,1.72 Metre,NA,NA,False,False,True,4.721,3.199,0.031,Wide,1.023,0.0,1.945,13.656,-3.677,0.984,-5.436,4.72,0.032,12.725,5.47,1.318,0.0,3.333,1.327,-4.821,2.375,0.035,1316.64,0,0,0,0,0,0,0,0,ATPD875,ATPF724,0,2,0,0
1_3_2_1,1,3,2,1,ATPD875,ATPF724,ATPF724,AdCourt,213.83 KPH,NA,0.41 Metre,-11.388,1.304,2.905,0,Faulty Serve,Net Error,True,NA,NA,0.9 Metre,NA,Net Error,False,False,True,-0.412,-2.33,0.03,Body,0.897,0.132,-1.833,-11.388,1.304,2.905,-0.412,-2.33,0.03,,,,,,,,,,0,1,0,0,0,0,0,1,0,ATPD875,ATPF724,0,2,0,0
1_3_2_2,1,3,2,2,ATPD875,ATPF724,ATPF724,AdCourt,166 KPH,NA,0.37 Metre,-11.631,1.724,2.955,0,DoubleFault,Long Error,False,NA,NA,1.52 Metre,NA,NA,False,False,True,6.773,-3.616,0.033,Wide,1.52,-0.0,-1.976,-11.631,1.724,2.955,6.773,-3.616,0.033,,,,,,,,,,1552.98,1,1,0,0,0,0,1,0,ATPD875,ATPF724,0,2,0,0
1_3_3_1,1,3,3,1,ATPD875,ATPF724,ATPF724,DeuceCourt,212.83 KPH,NA,NA,-11.442,-0.467,2.899,0,Faulty Serve,NA,True,NA,NA,0.71 Metre,NA,NA,False,False,True,,,,,0.706,0.021,-0.277,-11.442,-0.467,2.899,,,,,,,,,,,,,0,1,0,0,0,1,0,1,1,ATPD875,ATPF724,0,2,0,0
