point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
1_8_7_1,1,8,7,1,ATPTB69,ATPAG37,ATPAG37,DeuceCourt,203 KPH,Flat,NA,11.497,0.678,2.833,2,Unforced Error,NA,False,Ground,ForeHand,1.83 Metre,NA,Long Error,False,False,True,-5.609,-0.958,0.032,T,1.108,0.0,-0.358,13.261,-0.277,1.412,-12.483,4.482,0.037,-14.162,-1.903,1.113,0.0,-1.241,2.459,9.695,-0.487,0.033,2500.5,0,0,0,0,0,0,3,3
1_8_8_1,1,8,8,1,ATPTB69,ATPAG37,ATPAG37,AdCourt,204.2 KPH,Slice,1.6 Metre,11.407,-1.178,2.837,0,Faulty Serve,Long Error,False,NA,BackHand,1.39 Metre,NA,NA,True,False,True,-8.0,0.436,0.034,T,1.385,0.0,-0.111,11.407,-1.178,2.837,-8.0,0.436,0.034,,,,,,,,,,0,1,0,0,0,0,0,3,4
1_8_8_2,1,8,8,2,ATPTB69,ATPAG37,ATPAG37,AdCourt,150 KPH,Kick,NA,11.321,-1.543,2.802,6,Unforced Error,NA,False,Ground,BackHand,2.24 Metre,NA,Long Error,True,True,True,-4.203,2.353,0.034,Body,1.152,0.0,1.5,14.549,-3.887,1.088,-12.596,2.726,0.037,-16.016,5.088,1.542,0.0,1.404,1.574,6.544,-0.264,0.031,2035.26,0,0,0,0,0,0,3,4
1_9_1_1,1,9,1,1,ATPAG37,ATPTB69,ATPTB69,DeuceCourt,197 KPH,Slice,NA,-10.955,-1.213,2.917,6,Forced Error,NA,False,Ground,ForeHand,1.74 Metre,NA,NA,False,False,True,5.366,3.348,0.036,Wide,1.152,-0.0,1.741,-10.906,0.881,0.215,9.199,-4.428,0.034,12.835,5.874,1.257,-0.0,4.103,1.657,-9.517,2.948,0.035,2274.12,0,0,0,0,0,0,0,0
1_9_2_1,1,9,2,1,ATPAG37,ATPTB69,ATPTB69,AdCourt,174.36 KPH,NA,0.3 Metre,-11.137,0.811,3.011,0,Faulty Serve,Net Error,True,NA,ForeHand,0.92 Metre,NA,Net Error,False,False,True,-0.301,-3.489,0.038,Wide,0.921,0.134,-2.829,-11.137,0.811,3.011,-0.301,-3.489,0.038,,,,,,,,,,NA,1,0,0,0,0,0,0,1
1_9_2_2,1,9,2,2,ATPAG37,ATPTB69,ATPAG37,AdCourt,163 KPH,Slice,NA,-10.82,0.739,2.89,3,Winner,NA,False,Drop,ForeHand,1.15 Metre,Cross Court,NA,False,False,True,4.491,-2.691,0.037,Body,1.084,0.0,-1.818,-10.511,0.771,1.087,2.622,-2.543,0.037,17.673,-4.737,1.048,-0.0,-1.143,1.109,-4.552,-0.333,0.033,NA,0,0,0,0,0,0,0,1
1_9_3_1,1,9,3,1,ATPAG37,ATPTB69,ATPAG37,DeuceCourt,202 KPH,Slice,NA,-10.896,-1.171,2.919,3,Unforced Error,NA,False,Ground,BackHand,2.62 Metre,NA,Long Error,False,False,True,5.622,2.825,0.036,Wide,1.129,-0.0,1.363,15.651,-4.191,1.228,-12.885,2.097,0.037,13.259,5.035,1.054,0.0,1.89,2.292,-10.31,-0.588,0.035,2308.44,0,0,0,0,0,0,1,1
1_9_4_1,1,9,4,1,ATPAG37,ATPTB69,ATPAG37,AdCourt,204 KPH,Flat,NA,-11.121,0.621,2.968,11,Forced Error,NA,True,Ground,ForeHand,0.25 Metre,NA,NA,False,False,True,6.307,-3.159,0.033,Wide,1.235,-0.0,-1.835,15.784,4.164,1.296,-0.06,-1.861,0.032,13.041,-4.475,1.073,-0.0,0.008,1.195,-5.469,1.909,0.034,2115.78,0,0,0,0,0,0,2,1
1_9_5_1,1,9,5,1,ATPAG37,ATPTB69,ATPAG37,DeuceCourt,200 KPH,Flat,NA,-11.002,-1.05,2.954,1,Ace,NA,False,NA,ForeHand,1.01 Metre,Down the Line,NA,False,False,True,4.632,-0.05,0.033,T,1.01,-0.0,-0.361,-11.002,-1.05,2.954,4.632,-0.05,0.033,,,,,,,,,,0,0,0,0,1,0,0,3,1
2_1_1_1,2,1,1,1,ATPTB69,ATPAG37,ATPAG37,DeuceCourt,205.97 KPH,Pronated,0.28 Metre,-11.418,-0.683,2.82,0,Faulty Serve,Net Error,True,NA,ForeHand,0.82 Metre,NA,Net Error,False,False,True,-0.173,-0.222,0.032,T,0.821,0.126,-0.204,-11.418,-0.683,2.82,-0.173,-0.222,0.032,,,,,,,,,,0,1,0,0,0,0,1,0,0
2_1_1_2,2,1,1,2,ATPTB69,ATPAG37,ATPTB69,DeuceCourt,159 KPH,Slice,NA,-11.499,-0.301,2.801,1,Unforced Error,NA,False,Ground,ForeHand,3.23 Metre,NA,Long Error,False,False,True,3.897,0.414,0.034,T,1.013,0.0,0.059,17.708,1.905,1.319,-12.124,1.525,0.036,17.708,1.905,1.319,0.0,1.477,3.234,-12.124,1.525,0.036,2546.7,0,0,0,0,0,0,0,0
2_1_2_1,2,1,2,1,ATPTB69,ATPAG37,ATPAG37,AdCourt,201 KPH,Flat,NA,-11.468,1.182,2.852,2,Unforced Error,NA,False,Ground,BackHand,2.06 Metre,NA,Long Error,False,False,True,5.412,-0.474,0.033,T,1.134,-0.0,0.008,-11.523,3.562,0.841,12.546,-3.166,0.035,14.594,-1.161,1.261,-0.0,1.238,1.23,-6.376,2.46,0.035,2825.88,0,0,0,0,0,0,1,0
2_1_3_1,2,1,3,1,ATPTB69,ATPAG37,ATPAG37,DeuceCourt,206 KPH,Flat,NA,-11.323,-0.759,2.811,2,Unforced Error,NA,True,Ground,ForeHand,0.79 Metre,NA,Net Error,False,False,True,4.752,0.646,0.033,T,0.992,-0.0,0.178,-11.313,2.161,1.438,,,,14.636,1.673,1.198,0.0,1.788,2.062,-7.365,1.917,0.034,2812.32,0,0,0,0,0,0,1,1
2_1_4_1,2,1,4,1,ATPTB69,ATPAG37,ATPTB69,AdCourt,191 KPH,Flat,NA,-11.414,1.097,2.869,1,Ace,NA,False,NA,ForeHand,1.15 Metre,Cross Court,NA,False,False,True,5.577,-4.094,0.035,Wide,1.147,-0.0,-2.478,-11.414,1.097,2.869,5.577,-4.094,0.035,,,,,,,,,,NA,0,0,0,1,0,0,1,2
