point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,ATPHB71,ATPK0AH,ATPHB71,DeuceCourt,198 KPH,Flat,NA,-11.346,-0.52,2.981,5,Winner,NA,False,Overhead,ForeHand,1.21 Metre,Cross Court,NA,False,False,True,4.721,1.915,0.034,Body,1.051,-0.0,1.175,-5.975,2.058,3.062,3.247,-0.473,0.033,11.966,3.048,1.405,0.0,-1.365,1.186,-2.745,-2.343,0.033,NA,0,0,0,0,0,0,0,0,ATPHB71,ATPK0AH,0,0,0,0
1_1_2_1,1,1,2,1,ATPHB71,ATPK0AH,ATPHB71,AdCourt,208 KPH,Flat,NA,-11.237,1.257,2.885,1,Ace,NA,False,NA,ForeHand,1.13 Metre,Cross Court,NA,False,False,True,5.422,-0.252,0.036,T,1.13,-0.0,0.193,-11.237,1.257,2.885,5.422,-0.252,0.036,,,,,,,,,,NA,0,0,0,1,0,0,1,0,ATPHB71,ATPK0AH,0,0,0,0
1_1_3_1,1,1,3,1,ATPHB71,ATPK0AH,ATPHB71,DeuceCourt,209 KPH,Flat,NA,-11.249,-0.575,2.952,1,Winner,NA,False,NA,BackHand,1.22 Metre,Cross Court,NA,False,False,True,6.056,0.715,0.033,T,1.222,-0.0,0.24,-11.249,-0.575,2.952,6.056,0.715,0.033,,,,,,,,,,NA,0,0,0,0,0,1,2,0,ATPHB71,ATPK0AH,0,0,0,0
1_1_4_1,1,1,4,1,ATPHB71,ATPK0AH,ATPK0AH,AdCourt,193 KPH,Kick,NA,-11.311,1.093,2.992,2,Unforced Error,NA,False,Ground,ForeHand,1.69 Metre,NA,Wide Error,False,False,True,4.806,-1.74,0.033,Body,1.089,-0.0,-0.947,-13.204,-0.279,1.172,9.716,4.373,0.03,12.581,-2.926,1.531,0.0,-1.668,2.979,-10.727,-0.681,0.032,3265.8,0,0,0,0,0,0,3,0,ATPHB71,ATPK0AH,0,0,0,0
1_1_5_1,1,1,5,1,ATPHB71,ATPK0AH,ATPK0AH,DeuceCourt,206.23 KPH,Kick,0.06 Metre,-11.216,-0.586,3.005,0,Faulty Serve,Wide Error,False,NA,ForeHand,1 Metre,NA,NA,False,False,True,4.229,-0.058,0.035,T,1.0,0.0,-0.217,-11.216,-0.586,3.005,4.229,-0.058,0.035,,,,,,,,,,NA,1,0,0,0,0,0,3,1,ATPHB71,ATPK0AH,0,0,0,0
1_1_5_2,1,1,5,2,ATPHB71,ATPK0AH,ATPK0AH,DeuceCourt,164 KPH,Kick,NA,-11.348,-0.295,2.988,4,Unforced Error,NA,False,Ground,ForeHand,1.57 Metre,NA,Wide Error,False,False,True,4.889,0.566,0.036,T,1.221,0.0,0.13,-12.957,1.692,0.657,8.77,4.302,0.031,11.466,1.061,1.572,0.0,2.044,1.414,-6.743,2.651,0.032,2415.54,0,0,0,0,0,0,3,1,ATPHB71,ATPK0AH,0,0,0,0
1_1_6_1,1,1,6,1,ATPHB71,ATPK0AH,ATPHB71,AdCourt,212 KPH,Flat,NA,-11.291,0.976,2.915,1,Forced Error,NA,False,Ground,ForeHand,3.1 Metre,NA,NA,False,False,True,6.271,-0.837,0.035,T,1.232,-0.0,-0.246,12.943,-1.471,1.113,-12.249,4.615,0.033,12.943,-1.471,1.113,0.0,2.969,3.105,-12.249,4.615,0.033,1437,0,0,0,0,0,0,3,2,ATPHB71,ATPK0AH,0,0,0,0
1_2_1_1,1,2,1,1,ATPK0AH,ATPHB71,,DeuceCourt,201.34 KPH,Flat,0.38 Metre,-11.191,-0.859,2.854,0,Faulty Serve,Long Error,False,NA,BackHand,1.27 Metre,NA,NA,False,False,True,6.78,0.92,0.033,T,1.275,-0.0,0.216,-11.191,-0.859,2.854,6.78,0.92,0.033,,,,,,,,,,NA,1,0,0,0,0,0,0,0,ATPHB71,ATPK0AH,1,0,0,0
1_2_1_2,1,2,1,2,ATPK0AH,ATPHB71,ATPHB71,DeuceCourt,147 KPH,Pronated,NA,-11.546,-0.387,2.875,6,Unforced Error,NA,False,Ground,BackHand,1.82 Metre,NA,Long Error,False,False,True,4.548,1.449,0.035,Body,1.239,0.0,0.747,-13.121,2.728,0.851,12.885,-1.655,0.031,11.983,2.273,1.777,0.0,2.227,2.055,-8.009,2.727,0.033,1413.24,0,0,0,0,0,0,0,0,ATPHB71,ATPK0AH,1,0,0,0
1_2_2_1,1,2,2,1,ATPK0AH,ATPHB71,ATPHB71,AdCourt,205 KPH,Flat,0.43 Metre,-11.372,1.018,2.937,0,Faulty Serve,Long Error,False,NA,NA,1.3 Metre,NA,NA,False,False,True,6.83,-3.409,0.03,Wide,1.301,-0.0,-1.803,-11.372,1.018,2.937,6.83,-3.409,0.03,,,,,,,,,,0,1,0,0,0,0,0,0,1,ATPHB71,ATPK0AH,1,0,0,0
1_2_2_2,1,2,2,2,ATPK0AH,ATPHB71,ATPHB71,AdCourt,152 KPH,Kick,NA,-11.363,1.499,2.862,0,DoubleFault,NA,False,NA,BackHand,1.15 Metre,NA,NA,False,False,True,4.52,0.235,0.035,T,1.148,0.0,0.432,-11.363,1.499,2.862,4.52,0.235,0.035,,,,,,,,,,1139.16,1,1,0,0,0,0,0,1,ATPHB71,ATPK0AH,1,0,0,0
1_2_3_1,1,2,3,1,ATPK0AH,ATPHB71,ATPK0AH,DeuceCourt,197 KPH,Flat,NA,-11.414,-0.745,2.953,1,Ace,NA,False,NA,ForeHand,1.16 Metre,Cross Court,NA,False,False,True,5.389,0.264,0.036,T,1.159,-0.0,-0.095,-11.414,-0.745,2.953,5.389,0.264,0.036,,,,,,,,,,0,0,0,0,1,1,0,0,2,ATPHB71,ATPK0AH,1,0,0,0
1_2_4_1,1,2,4,1,ATPK0AH,ATPHB71,ATPK0AH,AdCourt,187 KPH,Flat,NA,-11.414,1.348,2.943,5,Winner,NA,False,Volley,BackHand,1.13 Metre,Cross Court,NA,False,False,True,5.608,-0.923,0.034,T,1.172,-0.0,-0.27,-3.923,1.203,1.381,6.141,-2.77,0.031,13.848,-1.743,1.393,0.0,-1.609,1.573,-6.593,-1.48,0.033,NA,0,0,0,0,0,1,1,2,ATPHB71,ATPK0AH,1,0,0,0
1_2_5_1,1,2,5,1,ATPK0AH,ATPHB71,ATPK0AH,DeuceCourt,208.71 KPH,NA,0.44 Metre,-11.406,-0.77,2.895,0,Faulty Serve,Net Error,True,NA,BackHand,0.88 Metre,NA,Net Error,False,False,True,-0.261,-0.36,0.035,T,0.883,0.016,-0.451,-11.406,-0.77,2.895,-0.261,-0.36,0.035,,,,,,,,,,NA,1,0,0,0,0,0,2,2,ATPHB71,ATPK0AH,1,0,0,0
1_2_5_2,1,2,5,2,ATPK0AH,ATPHB71,ATPHB71,DeuceCourt,153 KPH,Kick,NA,-11.383,-0.694,2.894,8,Unforced Error,NA,True,Ground,BackHand,0.92 Metre,NA,Net Error,False,False,True,4.541,1.806,0.035,Body,1.183,0.0,0.904,-12.688,2.383,0.901,-0.1,1.55,0.035,11.639,3.117,1.68,0.0,1.179,1.815,-7.087,0.359,0.031,2539.86,0,0,0,0,0,0,2,2,ATPHB71,ATPK0AH,1,0,0,0
1_2_6_1,1,2,6,1,ATPK0AH,ATPHB71,ATPHB71,AdCourt,204.06 KPH,NA,0.32 Metre,-11.23,1.175,2.946,0,Faulty Serve,Net Error,True,NA,ForeHand,0.92 Metre,NA,Net Error,True,False,True,-0.321,-2.49,0.036,Body,0.922,-0.023,-2.025,-11.23,1.175,2.946,-0.321,-2.49,0.036,,,,,,,,,,NA,1,0,0,0,0,0,2,3,ATPHB71,ATPK0AH,1,0,0,0
