point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
1_1_1_1,1,1,1,1,ATPPL56,ATPSL28,,DeuceCourt,222.91 KPH,Flat,0.27 Metre,-11.477,-1.227,2.823,0,Faulty Serve,Long Error,False,NA,ForeHand,1.2 Metre,NA,NA,False,False,True,6.671,1.029,0.033,T,1.195,-0.0,0.163,-11.477,-1.227,2.823,6.671,1.029,0.033,,,,,,,,,,0,1,0,0,0,0,0,0,0
1_1_1_2,1,1,1,2,ATPPL56,ATPSL28,ATPSL28,DeuceCourt,163 KPH,Kick,NA,-11.545,-0.881,2.818,6,Forced Error,NA,True,Ground,ForeHand,0.94 Metre,NA,NA,False,False,True,5.428,1.394,0.032,Body,1.323,-0.0,0.446,-14.449,-3.156,0.729,-0.177,-2.825,0.034,11.323,2.345,1.541,0.0,2.545,2.195,-8.874,2.462,0.025,1785.78,0,0,0,0,0,0,0,0
1_1_2_1,1,1,2,1,ATPPL56,ATPSL28,ATPPL56,AdCourt,184 KPH,Kick,NA,-11.432,1.589,2.814,1,Ace,NA,False,NA,ForeHand,1.03 Metre,Cross Court,NA,False,False,True,4.688,-0.031,0.037,T,1.027,0.0,0.307,-11.432,1.589,2.814,4.688,-0.031,0.037,,,,,,,,,,NA,0,0,0,1,0,0,0,1
1_1_3_1,1,1,3,1,ATPPL56,ATPSL28,ATPPL56,DeuceCourt,180 KPH,Slice,NA,-11.453,-1.239,2.796,1,Ace,NA,False,NA,ForeHand,1.21 Metre,Cross Court,NA,False,False,True,5.716,4.037,0.038,Wide,1.206,-0.0,2.078,-11.453,-1.239,2.796,5.716,4.037,0.038,,,,,,,,,,NA,0,0,0,1,0,1,1,1
1_1_4_1,1,1,4,1,ATPPL56,ATPSL28,ATPSL28,AdCourt,151 KPH,Kick,NA,-11.387,1.766,2.75,2,Forced Error,NA,True,Ground,ForeHand,0.61 Metre,NA,NA,False,False,True,4.6,-3.13,0.035,Wide,1.176,0.0,-1.928,-12.717,0.249,0.631,-0.505,0.527,0.037,11.878,-5.339,1.622,0.0,-2.468,1.995,-10.802,-0.123,0.033,2164.86,0,0,0,0,0,1,2,1
1_1_5_1,1,1,5,1,ATPPL56,ATPSL28,ATPSL28,DeuceCourt,225.94 KPH,Flat,0.4 Metre,-11.424,-1.193,2.813,0,Faulty Serve,Long Error,False,NA,BackHand,1.24 Metre,NA,NA,False,False,True,6.805,0.847,0.034,T,1.238,-0.0,-0.012,-11.424,-1.193,2.813,6.805,0.847,0.034,,,,,,,,,,NA,1,0,0,0,0,0,2,2
1_1_5_2,1,1,5,2,ATPPL56,ATPSL28,ATPPL56,DeuceCourt,149 KPH,Kick,NA,-11.622,-0.893,2.825,3,Unforced Error,NA,True,Ground,BackHand,0.34 Metre,NA,Net Error,False,False,True,4.375,1.572,0.037,Body,1.148,0.0,0.672,12.956,-2.837,1.112,,,,11.485,2.846,1.653,0.0,-0.326,1.684,-9.055,-3.146,0.032,2108.28,0,0,0,0,0,0,2,2
1_1_6_1,1,1,6,1,ATPPL56,ATPSL28,ATPPL56,AdCourt,200 KPH,Flat,NA,-11.405,1.459,2.825,3,Unforced Error,NA,False,Ground,ForeHand,1.86 Metre,NA,Long Error,False,False,True,5.897,-3.141,0.032,Wide,1.13,-0.0,-1.652,12.672,0.488,1.179,-11.96,-3.318,0.033,12.375,-4.692,1.018,0.0,-3.149,1.791,-10.967,-1.94,0.033,2320.26,0,0,0,0,0,0,3,2
1_2_1_1,1,2,1,1,ATPSL28,ATPPL56,ATPPL56,DeuceCourt,185 KPH,Slice,NA,-11.389,-1.153,2.902,2,Unforced Error,NA,True,Ground,BackHand,0.76 Metre,NA,Net Error,False,False,True,5.858,3.21,0.038,Wide,1.212,-0.0,1.605,-11.394,0.789,0.793,,,,12.386,5.181,1.189,0.0,2.849,1.382,-7.523,1.489,0.031,2472.48,0,0,0,0,0,0,0,0
1_2_2_1,1,2,2,1,ATPSL28,ATPPL56,ATPSL28,AdCourt,194 KPH,Flat,NA,-11.079,0.955,2.884,1,Forced Error,NA,True,NA,ForeHand,1.23 Metre,NA,NA,False,False,True,6.295,-0.323,0.034,T,1.225,-0.0,0.08,13.422,-0.699,1.079,4.303,3.064,0.038,,,,,,,,,,947.22,0,0,0,0,0,0,0,1
1_2_3_1,1,2,3,1,ATPSL28,ATPPL56,ATPSL28,DeuceCourt,190.56 KPH,NA,0.29 Metre,-11.534,-0.678,2.898,0,Faulty Serve,Net Error,True,NA,BackHand,0.89 Metre,NA,Net Error,False,False,True,-0.287,1.102,0.036,T,0.89,-0.022,0.876,-11.534,-0.678,2.898,-0.287,1.102,0.036,,,,,,,,,,NA,1,0,0,0,0,0,1,1
